 Z=  35 A=  60  Br beta2= 0.25 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.124071E-02   8.677810E-02
   0.100   8.105328E-02   8.684767E-02
   0.200   8.082428E-02   8.693190E-02
   0.300   8.041069E-02   8.707962E-02
   0.400   7.988064E-02   8.726607E-02
   0.500   7.920230E-02   8.749314E-02
   0.600   7.841654E-02   8.774133E-02
   0.700   7.757000E-02   8.799295E-02
   0.800   7.667034E-02   8.823445E-02
   0.900   7.576434E-02   8.845706E-02
   1.000   7.487889E-02   8.863735E-02
   1.100   7.403410E-02   8.878120E-02
   1.200   7.327800E-02   8.885953E-02
   1.300   7.260041E-02   8.888831E-02
   1.400   7.206204E-02   8.883763E-02
   1.500   7.165511E-02   8.871542E-02
   1.600   7.136676E-02   8.853030E-02
   1.700   7.122725E-02   8.826372E-02
   1.800   7.117559E-02   8.794577E-02
   1.900   7.123205E-02   8.755444E-02
   2.000   7.134021E-02   8.711668E-02
   2.100   7.148596E-02   8.661137E-02
   2.200   7.163202E-02   8.606263E-02
   2.300   7.172821E-02   8.544779E-02
   2.400   7.174446E-02   8.477281E-02
   2.500   7.164529E-02   8.403673E-02
   2.600   7.135427E-02   8.320297E-02
   2.700   7.083895E-02   8.225786E-02
   2.800   7.023258E-02   8.127316E-02
   2.900   6.926691E-02   8.009903E-02
   3.000   6.811100E-02   7.881832E-02
   3.100   6.660632E-02   7.732503E-02
   3.200   6.479110E-02   7.561957E-02
   3.300   6.288511E-02   7.385240E-02
   3.400   6.055448E-02   7.175942E-02
   3.500   5.805939E-02   6.952368E-02
   3.600   5.523572E-02   6.699295E-02
   3.700   5.216432E-02   6.421212E-02
   3.800   4.911153E-02   6.140905E-02
   3.900   4.573699E-02   5.825879E-02
   4.000   4.234452E-02   5.502866E-02
   4.100   3.878974E-02   5.156512E-02
   4.200   3.518456E-02   4.796410E-02
   4.300   3.178258E-02   4.447657E-02
   4.400   2.830581E-02   4.081017E-02
   4.500   2.502444E-02   3.724137E-02
   4.600   2.183649E-02   3.366288E-02
   4.700   1.883804E-02   3.017993E-02
   4.800   1.617394E-02   2.696508E-02
   4.900   1.367675E-02   2.383668E-02
   5.000   1.147832E-02   2.096599E-02
   5.100   9.513254E-03   1.828763E-02
   5.200   7.806050E-03   1.585186E-02
   5.300   6.378691E-03   1.370505E-02
   5.400   5.150625E-03   1.176717E-02
   5.500   4.137619E-03   1.007704E-02
   5.600   3.296608E-03   8.594133E-03
   5.700   2.611939E-03   7.313676E-03
   5.800   2.064743E-03   6.218620E-03
   5.900   1.623269E-03   5.280973E-03
   6.000   1.273685E-03   4.484946E-03
   6.100   9.963221E-04   3.810065E-03
   6.200   7.779154E-04   3.239909E-03
   6.300   6.069280E-04   2.756252E-03
   6.400   4.727765E-04   2.349862E-03
   6.500   3.680949E-04   2.005985E-03
   6.600   2.862521E-04   1.716086E-03
   6.700   2.224500E-04   1.471118E-03
   6.800   1.728203E-04   1.262220E-03
   6.900   1.342237E-04   1.086479E-03
   7.000   1.042734E-04   9.368229E-04
   7.100   8.102965E-05   8.100875E-04
   7.200   6.301604E-05   7.022948E-04
   7.300   4.902377E-05   6.095009E-04
   7.400   3.821007E-05   5.309270E-04
   7.500   2.981429E-05   4.633473E-04
   7.600   2.329425E-05   4.055260E-04
   7.700   1.821527E-05   3.557396E-04
   7.800   1.424851E-05   3.123663E-04
   7.900   1.115248E-05   2.751333E-04
   8.000   8.729162E-06   2.427121E-04
   8.100   6.828614E-06   2.146087E-04
   8.200   5.338942E-06   1.901549E-04
   8.300   4.173372E-06   1.686350E-04
   8.400   3.262794E-06   1.500101E-04
   8.500   2.552635E-06   1.336733E-04
   8.600   1.999971E-06   1.194372E-04
   8.700   1.570664E-06   1.069715E-04
   8.800   1.234757E-06   9.590201E-05
   8.900   9.748879E-07   8.624506E-05
   9.000   7.714042E-07   7.766578E-05
   9.100   6.120736E-07   7.006391E-05
   9.200   4.860721E-07   6.325810E-05
   9.300   3.861297E-07   5.713198E-05
   9.400   3.063884E-07   5.161272E-05
   9.500   2.414566E-07   4.651422E-05
   9.600   1.897747E-07   4.187964E-05
   9.700   1.491549E-07   3.770684E-05
   9.800   1.172295E-07   3.394981E-05
   9.900   9.213744E-08   3.056712E-05
  10.000   7.241614E-08   2.752147E-05
  10.100   5.691604E-08   2.477929E-05
  10.200   4.549277E-08   2.230858E-05
  10.300   3.677072E-08   2.008318E-05
  10.400   2.972090E-08   1.807978E-05
  10.500   2.402270E-08   1.627622E-05
  10.600   1.941697E-08   1.465259E-05
  10.700   1.569428E-08   1.319091E-05
  10.800   1.268531E-08   1.187505E-05
  10.900   1.025323E-08   1.069045E-05
  11.000   8.287446E-09   9.624020E-06
  11.100   6.475337E-09   8.651968E-06
  11.200   5.018357E-09   7.775500E-06
  11.300   3.889203E-09   6.987821E-06
  11.400   3.014115E-09   6.279936E-06
  11.500   2.335925E-09   5.643761E-06
  11.600   1.810331E-09   5.072033E-06
  11.700   1.402998E-09   4.558222E-06
  11.800   1.087317E-09   4.096462E-06
  11.900   8.426659E-10   3.681479E-06
  12.000   7.193976E-10   3.291821E-06
  12.100   6.210219E-10   2.941694E-06
  12.200   5.360989E-10   2.628808E-06
  12.300   4.627888E-10   2.349201E-06
  12.400   3.995037E-10   2.099333E-06
  12.500   3.448727E-10   1.876043E-06
  12.600   2.977123E-10   1.676502E-06
  12.700   2.570009E-10   1.498184E-06
  12.800   2.218568E-10   1.338834E-06
  12.900   1.574840E-10   1.197649E-06
  13.000   1.086243E-10   1.071513E-06
  13.100   7.492343E-11   9.586616E-07
  13.200   5.167830E-11   8.576957E-07
  13.300   3.564501E-11   7.673634E-07
  13.400   2.458608E-11   6.865449E-07
  13.500   1.695821E-11   6.142382E-07
  13.600   1.169689E-11   5.495468E-07
  13.700   8.067910E-12   4.916687E-07
  13.800   7.791656E-12   4.472763E-07
  13.900   8.722654E-12   4.098779E-07
  14.000   9.764893E-12   3.756065E-07
  14.100   1.093167E-11   3.442006E-07
  14.200   1.223785E-11   3.154208E-07
  14.300   1.370011E-11   2.890473E-07
  14.400   1.533709E-11   2.648790E-07
  14.500   1.716967E-11   2.427315E-07
  14.600   1.922121E-11   2.224358E-07
  14.700   1.991628E-11   2.070488E-07
  14.800   1.737271E-11   1.995505E-07
  14.900   1.515399E-11   1.923238E-07
  15.000   1.321863E-11   1.853588E-07
  15.100   1.153044E-11   1.786460E-07
  15.200   1.005785E-11   1.721763E-07
  15.300   8.773335E-12   1.659409E-07
  15.400   7.652867E-12   1.599314E-07
  15.500   6.675497E-12   1.541394E-07
  15.600   5.822949E-12   1.485573E-07
  15.700   5.960967E-12   1.412325E-07
  15.800   6.661674E-12   1.332665E-07
  15.900   7.444749E-12   1.257498E-07
  16.000   8.319874E-12   1.186571E-07
  16.100   9.297869E-12   1.119644E-07
  16.200   1.039083E-11   1.056492E-07
  16.300   1.161226E-11   9.969019E-08
  16.400   1.297727E-11   9.406730E-08
  16.500   1.450274E-11   8.876157E-08
  16.600   1.620753E-11   8.375510E-08
  16.700   1.772031E-11   7.399162E-08
  16.800   1.910034E-11   6.262523E-08
  16.900   2.058785E-11   5.300491E-08
  17.000   2.219120E-11   4.486244E-08
  17.100   2.391942E-11   3.797080E-08
  17.200   2.578223E-11   3.213783E-08
  17.300   2.779012E-11   2.720090E-08
  17.400   2.995438E-11   2.302237E-08
  17.500   3.228718E-11   1.948574E-08
  17.600   3.480166E-11   1.649239E-08
  17.700   3.707198E-11   1.388433E-08
  17.800   3.017267E-11   1.034478E-08
  17.900   2.455735E-11   7.707570E-09
  18.000   1.998709E-11   5.742669E-09
  18.100   1.626737E-11   4.278683E-09
  18.200   1.323992E-11   3.187913E-09
  18.300   1.077589E-11   2.375214E-09
  18.400   8.770435E-12   1.769697E-09
  18.500   7.138205E-12   1.318546E-09
  18.600   5.809743E-12   9.824074E-10
  18.700   4.728516E-12   7.319609E-10
  18.800   3.848511E-12   5.453612E-10
  18.900   2.767210E-12   3.713763E-10
  19.000   1.893363E-12   2.439471E-10
  19.100   1.295465E-12   1.602423E-10
  19.200   8.863751E-13   1.052589E-10
  19.300   6.064701E-13   6.914174E-11
  19.400   4.149552E-13   4.541736E-11
  19.500   2.839180E-13   2.983344E-11
  19.600   1.942606E-13   1.959679E-11
  19.700   1.329158E-13   1.287261E-11
  19.800   9.094282E-14   8.455669E-12
  19.900   6.222433E-14   5.554302E-12
 Z=  35 A=  61  Br beta2= 0.24 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.108002E-02   8.594491E-02
   0.100   8.089599E-02   8.600996E-02
   0.200   8.067384E-02   8.608813E-02
   0.300   8.027064E-02   8.622672E-02
   0.400   7.975033E-02   8.640210E-02
   0.500   7.909666E-02   8.661379E-02
   0.600   7.832704E-02   8.684739E-02
   0.700   7.750706E-02   8.708300E-02
   0.800   7.663731E-02   8.730932E-02
   0.900   7.576345E-02   8.751910E-02
   1.000   7.491410E-02   8.768998E-02
   1.100   7.410622E-02   8.782738E-02
   1.200   7.339270E-02   8.790327E-02
   1.300   7.277129E-02   8.792777E-02
   1.400   7.227755E-02   8.788816E-02
   1.500   7.194293E-02   8.777278E-02
   1.600   7.171612E-02   8.760827E-02
   1.700   7.164339E-02   8.737127E-02
   1.800   7.166313E-02   8.708851E-02
   1.900   7.179798E-02   8.674059E-02
   2.000   7.199064E-02   8.635236E-02
   2.100   7.222830E-02   8.590665E-02
   2.200   7.246721E-02   8.541512E-02
   2.300   7.266608E-02   8.487483E-02
   2.400   7.276669E-02   8.426648E-02
   2.500   7.277308E-02   8.361108E-02
   2.600   7.258057E-02   8.285884E-02
   2.700   7.219383E-02   8.201364E-02
   2.800   7.163965E-02   8.109024E-02
   2.900   7.079316E-02   8.001313E-02
   3.000   6.973690E-02   7.882229E-02
   3.100   6.831197E-02   7.740643E-02
   3.200   6.661810E-02   7.580963E-02
   3.300   6.471624E-02   7.406885E-02
   3.400   6.247713E-02   7.206804E-02
   3.500   6.004028E-02   6.990230E-02
   3.600   5.724449E-02   6.741939E-02
   3.700   5.424237E-02   6.472788E-02
   3.800   5.112444E-02   6.189818E-02
   3.900   4.777320E-02   5.880699E-02
   4.000   4.436204E-02   5.560234E-02
   4.100   4.075200E-02   5.213743E-02
   4.200   3.712489E-02   4.857592E-02
   4.300   3.357920E-02   4.500911E-02
   4.400   3.003296E-02   4.134678E-02
   4.500   2.664569E-02   3.775000E-02
   4.600   2.332605E-02   3.412092E-02
   4.700   2.022089E-02   3.061756E-02
   4.800   1.738389E-02   2.730544E-02
   4.900   1.476315E-02   2.413794E-02
   5.000   1.243203E-02   2.121044E-02
   5.100   1.033350E-02   1.847118E-02
   5.200   8.514394E-03   1.599349E-02
   5.300   6.964491E-03   1.378269E-02
   5.400   5.642594E-03   1.180821E-02
   5.500   4.543179E-03   1.008005E-02
   5.600   3.626767E-03   8.565831E-03
   5.700   2.880877E-03   7.263023E-03
   5.800   2.279229E-03   6.147976E-03
   5.900   1.795378E-03   5.197745E-03
   6.000   1.410532E-03   4.392147E-03
   6.100   1.104761E-03   3.712013E-03
   6.200   8.639488E-04   3.139376E-03
   6.300   6.748178E-04   2.656840E-03
   6.400   5.264391E-04   2.251857E-03
   6.500   4.103426E-04   1.910791E-03
   6.600   3.195458E-04   1.624817E-03
   6.700   2.487185E-04   1.384016E-03
   6.800   1.935110E-04   1.180652E-03
   6.900   1.505184E-04   1.009495E-03
   7.000   1.170701E-04   8.645807E-04
   7.100   9.109444E-05   7.426447E-04
   7.200   7.093606E-05   6.393124E-04
   7.300   5.527764E-05   5.513832E-04
   7.400   4.313846E-05   4.768666E-04
   7.500   3.369897E-05   4.131913E-04
   7.600   2.637114E-05   3.590976E-04
   7.700   2.065662E-05   3.127152E-04
   7.800   1.619204E-05   2.727750E-04
   7.900   1.269828E-05   2.384761E-04
   8.000   9.958180E-06   2.087966E-04
   8.100   7.806673E-06   1.832494E-04
   8.200   6.117771E-06   1.611097E-04
   8.300   4.792562E-06   1.418528E-04
   8.400   3.754246E-06   1.251808E-04
   8.500   2.941572E-06   1.106476E-04
   8.600   2.308355E-06   9.808409E-05
   8.700   1.815056E-06   8.713007E-05
   8.800   1.429759E-06   7.753561E-05
   8.900   1.130125E-06   6.916485E-05
   9.000   8.953573E-07   6.179096E-05
   9.100   7.117607E-07   5.531274E-05
   9.200   5.665422E-07   4.955591E-05
   9.300   4.513252E-07   4.442494E-05
   9.400   3.592078E-07   3.982721E-05
   9.500   2.844666E-07   3.563834E-05
   9.600   2.240839E-07   3.182232E-05
   9.700   1.765184E-07   2.841490E-05
   9.800   1.390494E-07   2.537234E-05
   9.900   1.095339E-07   2.265557E-05
  10.000   8.628350E-08   2.022969E-05
  10.100   6.796840E-08   1.806357E-05
  10.200   5.405351E-08   1.612262E-05
  10.300   4.380439E-08   1.437827E-05
  10.400   3.549860E-08   1.282265E-05
  10.500   2.876769E-08   1.143534E-05
  10.600   2.331302E-08   1.019812E-05
  10.700   1.889262E-08   9.094766E-06
  10.800   1.531038E-08   8.110781E-06
  10.900   1.240737E-08   7.233257E-06
  11.000   1.005480E-08   6.450674E-06
  11.100   7.971353E-09   5.735527E-06
  11.200   6.191316E-09   5.085391E-06
  11.300   4.808768E-09   4.508949E-06
  11.400   3.734950E-09   3.997849E-06
  11.500   2.900919E-09   3.544682E-06
  11.600   2.253132E-09   3.142884E-06
  11.700   1.749998E-09   2.786630E-06
  11.800   1.359216E-09   2.470759E-06
  11.900   1.055697E-09   2.190692E-06
  12.000   8.734875E-10   1.930742E-06
  12.100   7.561711E-10   1.694344E-06
  12.200   6.546112E-10   1.486890E-06
  12.300   5.666916E-10   1.304837E-06
  12.400   4.905803E-10   1.145074E-06
  12.500   4.246914E-10   1.004872E-06
  12.600   3.676519E-10   8.818366E-07
  12.700   3.182732E-10   7.738654E-07
  12.800   2.755266E-10   6.791141E-07
  12.900   2.120937E-10   5.966973E-07
  13.000   1.473017E-10   5.248477E-07
  13.100   1.023029E-10   4.616496E-07
  13.200   7.105068E-11   4.060614E-07
