 Z=  57 A= 112  La beta2= 0.27 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.064829E-02   6.678868E-02
   0.100   7.090882E-02   6.699940E-02
   0.200   7.117032E-02   6.721079E-02
   0.300   7.154872E-02   6.751869E-02
   0.400   7.207624E-02   6.795044E-02
   0.500   7.276370E-02   6.851896E-02
   0.600   7.349493E-02   6.912746E-02
   0.700   7.431457E-02   6.981796E-02
   0.800   7.518155E-02   7.056776E-02
   0.900   7.605553E-02   7.132702E-02
   1.000   7.691374E-02   7.209444E-02
   1.100   7.770442E-02   7.282670E-02
   1.200   7.848325E-02   7.355517E-02
   1.300   7.913164E-02   7.419872E-02
   1.400   7.967225E-02   7.476731E-02
   1.500   8.014993E-02   7.529258E-02
   1.600   8.048423E-02   7.571126E-02
   1.700   8.070074E-02   7.604003E-02
   1.800   8.081791E-02   7.629182E-02
   1.900   8.083733E-02   7.646553E-02
   2.000   8.075915E-02   7.656003E-02
   2.100   8.058570E-02   7.657530E-02
   2.200   8.037188E-02   7.655517E-02
   2.300   8.010036E-02   7.648375E-02
   2.400   7.978332E-02   7.636597E-02
   2.500   7.946406E-02   7.624325E-02
   2.600   7.913580E-02   7.610552E-02
   2.700   7.883043E-02   7.597494E-02
   2.800   7.853164E-02   7.584723E-02
   2.900   7.827392E-02   7.574372E-02
   3.000   7.805191E-02   7.566409E-02
   3.100   7.784325E-02   7.559322E-02
   3.200   7.766211E-02   7.554119E-02
   3.300   7.747667E-02   7.548420E-02
   3.400   7.728546E-02   7.542154E-02
   3.500   7.705156E-02   7.532406E-02
   3.600   7.673531E-02   7.515675E-02
   3.700   7.631775E-02   7.490240E-02
   3.800   7.579088E-02   7.455365E-02
   3.900   7.509219E-02   7.405218E-02
   4.000   7.424381E-02   7.341555E-02
   4.100   7.311848E-02   7.252765E-02
   4.200   7.178223E-02   7.144286E-02
   4.300   7.023512E-02   7.015815E-02
   4.400   6.841316E-02   6.860991E-02
   4.500   6.638312E-02   6.685701E-02
   4.600   6.399080E-02   6.475109E-02
   4.700   6.137400E-02   6.241708E-02
   4.800   5.855569E-02   5.987321E-02
   4.900   5.548659E-02   5.706807E-02
   5.000   5.227557E-02   5.410297E-02
   5.100   4.877734E-02   5.083444E-02
   5.200   4.518618E-02   4.744543E-02
   5.300   4.154849E-02   4.397816E-02
   5.400   3.784938E-02   4.041592E-02
   5.500   3.421420E-02   3.687932E-02
   5.600   3.054588E-02   3.327264E-02
   5.700   2.703110E-02   2.977975E-02
   5.800   2.370707E-02   2.643834E-02
   5.900   2.057446E-02   2.325202E-02
   6.000   1.770525E-02   2.029591E-02
   6.100   1.504289E-02   1.751809E-02
   6.200   1.267428E-02   1.501211E-02
   6.300   1.059039E-02   1.277393E-02
   6.400   8.772375E-03   1.079010E-02
   6.500   7.217596E-03   9.063673E-03
   6.600   5.884775E-03   7.558902E-03
   6.700   4.773539E-03   6.279775E-03
   6.800   3.853426E-03   5.198605E-03
   6.900   3.097769E-03   4.291818E-03
   7.000   2.482948E-03   3.536811E-03
   7.100   1.984138E-03   2.910812E-03
   7.200   1.583700E-03   2.395471E-03
   7.300   1.262882E-03   1.971636E-03
   7.400   1.006708E-03   1.624339E-03
   7.500   8.023381E-04   1.339366E-03
   7.600   6.395382E-04   1.106418E-03
   7.700   5.098730E-04   9.153140E-04
   7.800   4.065650E-04   7.583160E-04
   7.900   3.242492E-04   6.293802E-04
   8.000   2.586231E-04   5.231251E-04
   8.100   2.063505E-04   4.358596E-04
   8.200   1.647185E-04   3.638141E-04
   8.300   1.315489E-04   3.042427E-04
   8.400   1.051732E-04   2.550416E-04
   8.500   8.416888E-05   2.142284E-04
   8.600   6.750324E-05   1.805557E-04
   8.700   5.423583E-05   1.525501E-04
   8.800   4.365794E-05   1.292096E-04
   8.900   3.522261E-05   1.097642E-04
   9.000   2.846507E-05   9.346133E-05
   9.100   2.305653E-05   7.986000E-05
   9.200   1.869559E-05   6.839680E-05
   9.300   1.517229E-05   5.871214E-05
   9.400   1.231605E-05   5.052692E-05
   9.500   9.997457E-06   4.356959E-05
   9.600   8.111709E-06   3.768693E-05
   9.700   6.579460E-06   3.266816E-05
   9.800   5.334903E-06   2.837756E-05
   9.900   4.326624E-06   2.471071E-05
  10.000   3.510407E-06   2.155832E-05
  10.100   2.853449E-06   1.885871E-05
  10.200   2.324462E-06   1.652187E-05
  10.300   1.898109E-06   1.449415E-05
  10.400   1.555461E-06   1.272550E-05
  10.500   1.280447E-06   1.115216E-05
  10.600   1.058886E-06   9.740841E-06
  10.700   8.756626E-07   8.508128E-06
  10.800   7.241432E-07   7.431416E-06
  10.900   5.988418E-07   6.490963E-06
  11.000   4.952218E-07   5.669525E-06
  11.100   4.095316E-07   4.952041E-06
  11.200   3.386687E-07   4.325355E-06
  11.300   2.791013E-07   3.754252E-06
  11.400   2.293268E-07   3.240905E-06
  11.500   1.884290E-07   2.797752E-06
  11.600   1.548249E-07   2.415194E-06
  11.700   1.272136E-07   2.084947E-06
  11.800   1.045265E-07   1.799856E-06
  11.900   8.588542E-08   1.553748E-06
  12.000   7.056874E-08   1.341293E-06
  12.100   5.798362E-08   1.157888E-06
  12.200   4.764291E-08   9.995610E-07
  12.300   3.991910E-08   8.471970E-07
  12.400   3.363456E-08   7.143087E-07
  12.500   2.833941E-08   6.022648E-07
  12.600   2.387788E-08   5.077957E-07
  12.700   2.011874E-08   4.281447E-07
  12.800   1.695141E-08   3.609874E-07
  12.900   1.428271E-08   3.043642E-07
  13.000   1.203416E-08   2.566227E-07
  13.100   1.013960E-08   2.163698E-07
  13.200   8.543302E-09   1.824308E-07
  13.300   7.024751E-09   1.470834E-07
  13.400   5.759075E-09   1.179441E-07
  13.500   4.721441E-09   9.457761E-08
  13.600   3.870761E-09   7.584040E-08
  13.700   3.173352E-09   6.081531E-08
  13.800   2.601597E-09   4.876690E-08
  13.900   2.132857E-09   3.910547E-08
  14.000   1.748572E-09   3.135810E-08
  14.100   1.433525E-09   2.514560E-08
  14.200   1.175242E-09   2.016389E-08
  14.300   1.024229E-09   2.049462E-08
  14.400   9.002340E-10   2.152835E-08
  14.500   7.912504E-10   2.261423E-08
  14.600   6.954605E-10   2.375487E-08
  14.700   6.112670E-10   2.495306E-08
  14.800   5.372662E-10   2.621167E-08
  14.900   4.722240E-10   2.753377E-08
  15.000   4.150559E-10   2.892256E-08
  15.100   3.648086E-10   3.038139E-08
  15.200   3.206444E-10   3.191381E-08
  15.300   2.620763E-10   3.373138E-08
  15.400   2.074525E-10   3.574977E-08
  15.500   1.642138E-10   3.788893E-08
  15.600   1.299873E-10   4.015609E-08
  15.700   1.028944E-10   4.255891E-08
  15.800   8.144846E-11   4.510551E-08
  15.900   6.447241E-11   4.780449E-08
  16.000   5.103463E-11   5.066497E-08
  16.100   4.039764E-11   5.369661E-08
  16.200   3.197769E-11   5.690966E-08
  16.300   2.728712E-11   5.945774E-08
  16.400   2.821841E-11   5.988584E-08
  16.500   2.918148E-11   6.031702E-08
  16.600   3.017743E-11   6.075130E-08
  16.700   3.120737E-11   6.118871E-08
  16.800   3.227245E-11   6.162927E-08
  16.900   3.337389E-11   6.207301E-08
  17.000   3.451292E-11   6.251993E-08
  17.100   3.569082E-11   6.297008E-08
  17.200   3.690893E-11   6.342346E-08
  17.300   3.816861E-11   6.388011E-08
  17.400   3.925165E-11   6.220287E-08
  17.500   4.018741E-11   5.897041E-08
  17.600   4.114548E-11   5.590592E-08
  17.700   4.212639E-11   5.300068E-08
  17.800   4.313069E-11   5.024642E-08
  17.900   4.415893E-11   4.763529E-08
  18.000   4.521168E-11   4.515985E-08
  18.100   4.628953E-11   4.281305E-08
  18.200   4.739308E-11   4.058821E-08
  18.300   4.852293E-11   3.847898E-08
  18.400   4.967972E-11   3.647936E-08
  18.500   5.176043E-11   3.313265E-08
  18.600   5.526714E-11   2.833565E-08
  18.700   5.901143E-11   2.423316E-08
  18.800   6.300939E-11   2.072463E-08
  18.900   6.727820E-11   1.772408E-08
  19.000   7.183622E-11   1.515796E-08
  19.100   7.670305E-11   1.296336E-08
  19.200   8.189959E-11   1.108650E-08
  19.300   8.744820E-11   9.481373E-09
  19.400   9.337272E-11   8.108642E-09
  19.500   9.969862E-11   6.934657E-09
  19.600   1.064531E-10   5.930644E-09
  19.700   9.672197E-11   4.681496E-09
  19.800   8.184317E-11   3.567188E-09
  19.900   6.925317E-11   2.718111E-09
 Z=  57 A= 113  La beta2= 0.30 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.147125E-02   6.628264E-02
   0.100   7.171397E-02   6.649513E-02
   0.200   7.195752E-02   6.670831E-02
   0.300   7.230847E-02   6.701642E-02
