 Z=  96 A= 206  Cm beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.777522E-02   6.564684E-02
   0.100   7.767597E-02   6.548312E-02
   0.200   7.757686E-02   6.531981E-02
   0.300   7.747787E-02   6.515691E-02
   0.400   7.732571E-02   6.490626E-02
   0.500   7.713943E-02   6.459979E-02
   0.600   7.690596E-02   6.421415E-02
   0.700   7.666043E-02   6.380928E-02
   0.800   7.640936E-02   6.339435E-02
   0.900   7.614468E-02   6.295344E-02
   1.000   7.589990E-02   6.253742E-02
   1.100   7.567589E-02   6.214711E-02
   1.200   7.545274E-02   6.175947E-02
   1.300   7.532456E-02   6.149734E-02
   1.400   7.522361E-02   6.127102E-02
   1.500   7.524333E-02   6.120012E-02
   1.600   7.526306E-02   6.112930E-02
   1.700   7.540031E-02   6.120554E-02
   1.800   7.558857E-02   6.134534E-02
   1.900   7.591173E-02   6.164666E-02
   2.000   7.625454E-02   6.197137E-02
   2.100   7.664174E-02   6.234713E-02
   2.200   7.709635E-02   6.280063E-02
   2.300   7.757486E-02   6.328167E-02
   2.400   7.807191E-02   6.378423E-02
   2.500   7.856934E-02   6.428811E-02
   2.600   7.904259E-02   6.476992E-02
   2.700   7.949343E-02   6.523180E-02
   2.800   7.988023E-02   6.563482E-02
   2.900   8.026892E-02   6.604034E-02
   3.000   8.055777E-02   6.635915E-02
   3.100   8.082088E-02   6.665597E-02
   3.200   8.094343E-02   6.684147E-02
   3.300   8.106223E-02   6.702435E-02
   3.400   8.111412E-02   6.716234E-02
   3.500   8.109597E-02   6.725311E-02
   3.600   8.100912E-02   6.731324E-02
   3.700   8.088874E-02   6.735832E-02
   3.800   8.075866E-02   6.740466E-02
   3.900   8.058596E-02   6.745633E-02
   4.000   8.041553E-02   6.752805E-02
   4.100   8.024874E-02   6.763426E-02
   4.200   8.008229E-02   6.774065E-02
   4.300   7.994962E-02   6.790890E-02
   4.400   7.982337E-02   6.808808E-02
   4.500   7.972305E-02   6.830180E-02
   4.600   7.962285E-02   6.851619E-02
   4.700   7.951151E-02   6.871656E-02
   4.800   7.937307E-02   6.888512E-02
   4.900   7.919229E-02   6.900573E-02
   5.000   7.888779E-02   6.899337E-02
   5.100   7.852336E-02   6.891793E-02
   5.200   7.802959E-02   6.870692E-02
   5.300   7.731567E-02   6.827243E-02
   5.400   7.647000E-02   6.770325E-02
   5.500   7.529763E-02   6.681175E-02
   5.600   7.401343E-02   6.580740E-02
   5.700   7.247749E-02   6.455511E-02
   5.800   7.057902E-02   6.295305E-02
   5.900   6.850658E-02   6.117877E-02
   6.000   6.599027E-02   5.898222E-02
   6.100   6.338691E-02   5.669756E-02
   6.200   6.051739E-02   5.415805E-02
   6.300   5.728232E-02   5.127450E-02
   6.400   5.395366E-02   4.829933E-02
   6.500   5.025586E-02   4.498173E-02
   6.600   4.662623E-02   4.172315E-02
   6.700   4.289189E-02   3.836647E-02
   6.800   3.900411E-02   3.487152E-02
   6.900   3.524255E-02   3.149063E-02
   7.000   3.140711E-02   2.804569E-02
   7.100   2.785875E-02   2.486128E-02
   7.200   2.446508E-02   2.181890E-02
   7.300   2.121479E-02   1.891073E-02
   7.400   1.827336E-02   1.628043E-02
   7.500   1.552517E-02   1.382868E-02
   7.600   1.313445E-02   1.169784E-02
   7.700   1.101135E-02   9.808360E-03
   7.800   9.135513E-03   8.142159E-03
   7.900   7.540955E-03   6.726382E-03
   8.000   6.166913E-03   5.508699E-03
   8.100   5.031000E-03   4.501686E-03
   8.200   4.083072E-03   3.661776E-03
   8.300   3.298208E-03   2.966945E-03
   8.400   2.659332E-03   2.400719E-03
   8.500   2.139047E-03   1.939976E-03
   8.600   1.720134E-03   1.567830E-03
   8.700   1.382550E-03   1.267388E-03
   8.800   1.111477E-03   1.025890E-03
   8.900   8.939767E-04   8.312644E-04
   9.000   7.197624E-04   6.750462E-04
   9.100   5.796652E-04   5.485612E-04
   9.200   4.671223E-04   4.464282E-04
   9.300   3.765454E-04   3.638272E-04
   9.400   3.035766E-04   2.967340E-04
   9.500   2.446987E-04   2.422978E-04
   9.600   1.972222E-04   1.979246E-04
   9.700   1.589263E-04   1.618124E-04
   9.800   1.280652E-04   1.324850E-04
   9.900   1.032320E-04   1.086019E-04
  10.000   8.331530E-05   8.931814E-05
  10.100   6.729515E-05   7.357144E-05
  10.200   5.444969E-05   6.080179E-05
  10.300   4.419284E-05   5.051748E-05
  10.400   3.594066E-05   4.211284E-05
  10.500   2.935721E-05   3.536286E-05
  10.600   2.401168E-05   2.976635E-05
  10.700   1.969552E-05   2.518504E-05
  10.800   1.619798E-05   2.143262E-05
  10.900   1.333501E-05   1.829200E-05
  11.000   1.098520E-05   1.568420E-05
  11.100   9.045977E-06   1.346147E-05
  11.200   7.442822E-06   1.157807E-05
  11.300   6.109446E-06   9.973032E-06
  11.400   5.007908E-06   8.594725E-06
  11.500   4.092412E-06   7.410597E-06
  11.600   3.341922E-06   6.390375E-06
  11.700   2.725686E-06   5.512577E-06
  11.800   2.251578E-06   4.781471E-06
  11.900   1.859936E-06   4.147328E-06
  12.000   1.536417E-06   3.597288E-06
  12.100   1.269171E-06   3.120197E-06
  12.200   1.048410E-06   2.706380E-06
  12.300   8.660489E-07   2.347446E-06
  12.400   7.154075E-07   2.036116E-06
  12.500   5.909689E-07   1.766076E-06
  12.600   4.898408E-07   1.537992E-06
  12.700   4.085055E-07   1.349012E-06
  12.800   3.406755E-07   1.183252E-06
  12.900   2.841083E-07   1.037860E-06
  13.000   2.369338E-07   9.103333E-07
  13.100   1.975923E-07   7.984763E-07
  13.200   1.647832E-07   7.003636E-07
  13.300   1.374219E-07   6.143066E-07
  13.400   1.146038E-07   5.388238E-07
  13.500   9.557450E-08   4.726159E-07
  13.600   7.970490E-08   4.145433E-07
  13.700   6.680647E-08   3.691167E-07
  13.800   5.622226E-08   3.326557E-07
  13.900   4.731492E-08   2.997963E-07
  14.000   3.981877E-08   2.701827E-07
  14.100   3.351025E-08   2.434943E-07
  14.200   2.820119E-08   2.194422E-07
  14.300   2.373325E-08   1.977659E-07
  14.400   1.997317E-08   1.782308E-07
  14.500   1.680880E-08   1.606253E-07
  14.600   1.414577E-08   1.447589E-07
  14.700   1.190464E-08   1.304597E-07
  14.800   1.003675E-08   1.185163E-07
  14.900   8.471674E-09   1.082132E-07
  15.000   7.150644E-09   9.880569E-08
  15.100   6.035609E-09   9.021605E-08
  15.200   5.094447E-09   8.237315E-08
  15.300   4.300045E-09   7.521207E-08
  15.400   3.629518E-09   6.867353E-08
  15.500   3.063549E-09   6.270342E-08
  15.600   2.585835E-09   5.725232E-08
  15.700   2.182613E-09   5.227511E-08
  15.800   1.842268E-09   4.773059E-08
  15.900   1.585761E-09   4.410817E-08
  16.000   1.389088E-09   4.120101E-08
  16.100   1.216807E-09   3.848546E-08
  16.200   1.065892E-09   3.594890E-08
  16.300   9.336954E-10   3.357952E-08
  16.400   8.178941E-10   3.136630E-08
  16.500   7.164550E-10   2.929895E-08
  16.600   6.275969E-10   2.736787E-08
  16.700   5.497593E-10   2.556406E-08
  16.800   4.815756E-10   2.387914E-08
  16.900   4.218483E-10   2.230527E-08
  17.000   3.768410E-10   2.083719E-08
  17.100   3.563626E-10   1.947132E-08
  17.200   3.369970E-10   1.819498E-08
  17.300   3.186838E-10   1.700230E-08
  17.400   3.013658E-10   1.588780E-08
  17.500   2.849889E-10   1.484636E-08
  17.600   2.695019E-10   1.387318E-08
  17.700   2.548566E-10   1.296380E-08
  17.800   2.410071E-10   1.211402E-08
  17.900   2.279102E-10   1.131995E-08
  18.000   2.155250E-10   1.057793E-08
  18.100   2.038129E-10   9.884550E-09
  18.200   1.973550E-10   9.297669E-09
  18.300   1.927911E-10   8.767077E-09
  18.400   1.883328E-10   8.266765E-09
  18.500   1.839776E-10   7.795003E-09
  18.600   1.797231E-10   7.350164E-09
  18.700   1.755669E-10   6.930711E-09
  18.800   1.715069E-10   6.535195E-09
  18.900   1.675408E-10   6.162249E-09
  19.000   1.636664E-10   5.810587E-09
  19.100   1.598816E-10   5.478993E-09
  19.200   1.561843E-10   5.166322E-09
  19.300   1.525725E-10   4.871495E-09
  19.400   1.626392E-10   4.568758E-09
  19.500   1.758722E-10   4.281040E-09
  19.600   1.901818E-10   4.011441E-09
  19.700   2.056557E-10   3.758820E-09
  19.800   2.223886E-10   3.522107E-09
  19.900   2.404830E-10   3.300302E-09
 Z=  96 A= 207  Cm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.805987E-02   6.564249E-02
   0.100   7.797659E-02   6.547512E-02
   0.200   7.789340E-02   6.530818E-02
   0.300   7.781030E-02   6.514166E-02
   0.400   7.768258E-02   6.488616E-02
   0.500   7.752521E-02   6.457213E-02
   0.600   7.732750E-02   6.417815E-02
   0.700   7.711860E-02   6.376321E-02
   0.800   7.690467E-02   6.333840E-02
   0.900   7.667749E-02   6.288545E-02
   1.000   7.646464E-02   6.245624E-02
   1.100   7.626811E-02   6.205351E-02
   1.200   7.607209E-02   6.165337E-02
   1.300   7.595312E-02   6.137589E-02
   1.400   7.585570E-02   6.113167E-02
   1.500   7.586695E-02   6.105004E-02
   1.600   7.587820E-02   6.096853E-02
   1.700   7.598827E-02   6.102696E-02
   1.800   7.614908E-02   6.115703E-02
   1.900   7.642990E-02   6.144306E-02
   2.000   7.673484E-02   6.176048E-02
   2.100   7.707767E-02   6.212367E-02
   2.200   7.749081E-02   6.257187E-02
   2.300   7.792836E-02   6.304563E-02
   2.400   7.838841E-02   6.354316E-02
   2.500   7.885050E-02   6.404364E-02
   2.600   7.929771E-02   6.452228E-02
   2.700   7.973076E-02   6.498651E-02
   2.800   8.010453E-02   6.538761E-02
   2.900   8.048005E-02   6.579118E-02
   3.000   8.077360E-02   6.611586E-02
   3.100   8.103622E-02   6.641101E-02
   3.200   8.117597E-02   6.660374E-02
   3.300   8.130250E-02   6.678575E-02
   3.400   8.137429E-02   6.693025E-02
   3.500   8.136771E-02   6.702076E-02
   3.600   8.130031E-02   6.708496E-02
   3.700   8.119061E-02   6.713076E-02
   3.800   8.107535E-02   6.717726E-02
   3.900   8.090903E-02   6.722991E-02
   4.000   8.074239E-02   6.729787E-02
   4.100   8.057436E-02   6.740582E-02
   4.200   8.040667E-02   6.751395E-02
   4.300   8.026292E-02   6.767676E-02
   4.400   8.012580E-02   6.785476E-02
   4.500   8.001082E-02   6.806784E-02
   4.600   7.989680E-02   6.828285E-02
   4.700   7.977244E-02   6.848607E-02
   4.800   7.962400E-02   6.866117E-02
   4.900   7.942987E-02   6.878244E-02
   5.000   7.912128E-02   6.877849E-02
   5.100   7.876288E-02   6.872043E-02
   5.200   7.825963E-02   6.850788E-02
   5.300   7.757306E-02   6.810494E-02
   5.400   7.672716E-02   6.753809E-02
   5.500   7.557866E-02   6.666952E-02
   5.600   7.433279E-02   6.570065E-02
   5.700   7.279989E-02   6.444738E-02
   5.800   7.096322E-02   6.289876E-02
   5.900   6.889967E-02   6.112770E-02
   6.000   6.642483E-02   5.896393E-02
   6.100   6.387642E-02   5.672535E-02
   6.200   6.100612E-02   5.418177E-02
   6.300   5.784225E-02   5.136118E-02
   6.400   5.451154E-02   4.838373E-02
   6.500   5.084339E-02   4.509520E-02
   6.600   4.725136E-02   4.187501E-02
   6.700   4.349267E-02   3.850357E-02
   6.800   3.964439E-02   3.505281E-02
   6.900   3.585131E-02   3.165644E-02
   7.000   3.200593E-02   2.821835E-02
   7.100   2.845067E-02   2.504499E-02
   7.200   2.500746E-02   2.197804E-02
   7.300   2.174480E-02   1.907964E-02
   7.400   1.875016E-02   1.642565E-02
   7.500   1.596184E-02   1.396192E-02
   7.600   1.353391E-02   1.182085E-02
   7.700   1.135875E-02   9.907761E-03
   7.800   9.449473E-03   8.233767E-03
   7.900   7.809727E-03   6.799484E-03
   8.000   6.398160E-03   5.568724E-03
   8.100   5.229097E-03   4.550627E-03
   8.200   4.248971E-03   3.699176E-03
   8.300   3.439029E-03   2.997091E-03
   8.400   2.776232E-03   2.423198E-03
   8.500   2.235982E-03   1.956426E-03
   8.600   1.800217E-03   1.579500E-03
   8.700   1.448645E-03   1.275629E-03
   8.800   1.166164E-03   1.031501E-03
   8.900   9.391254E-04   8.349273E-04
   9.000   7.569234E-04   6.771062E-04
   9.100   6.102584E-04   5.494745E-04
   9.200   4.924233E-04   4.466693E-04
   9.300   3.975516E-04   3.636023E-04
   9.400   3.209605E-04   2.961874E-04
   9.500   2.590638E-04   2.414958E-04
   9.600   2.090942E-04   1.969732E-04
   9.700   1.687491E-04   1.608166E-04
   9.800   1.362126E-04   1.314742E-04
   9.900   1.099593E-04   1.075997E-04
  10.000   8.886064E-05   8.831849E-05
  10.100   7.185677E-05   7.258738E-05
  10.200   5.822308E-05   5.988456E-05
  10.300   4.730776E-05   4.963822E-05
  10.400   3.852332E-05   4.130234E-05
  10.500   3.149299E-05   3.459756E-05
  10.600   2.577888E-05   2.904675E-05
  10.700   2.117270E-05   2.453207E-05
  10.800   1.743274E-05   2.082628E-05
  10.900   1.437236E-05   1.774171E-05
  11.000   1.185607E-05   1.517617E-05
  11.100   9.779056E-06   1.299543E-05
  11.200   8.060464E-06   1.115554E-05
  11.300   6.632595E-06   9.588211E-06
  11.400   5.447775E-06   8.244771E-06
  11.500   4.461755E-06   7.090975E-06
  11.600   3.651561E-06   6.099131E-06
  11.700   2.983568E-06   5.247193E-06
  11.800   2.464968E-06   4.537741E-06
  11.900   2.038719E-06   3.926200E-06
  12.000   1.686177E-06   3.397076E-06
  12.100   1.394599E-06   2.939260E-06
  12.200   1.153441E-06   2.543143E-06
  12.300   9.539842E-07   2.200410E-06
  12.400   7.890185E-07   1.903866E-06
  12.500   6.525791E-07   1.647286E-06
  12.600   5.411166E-07   1.428939E-06
  12.700   4.523046E-07   1.249513E-06
  12.800   3.780690E-07   1.092616E-06
  12.900   3.160175E-07   9.554208E-07
  13.000   2.641504E-07   8.354524E-07
  13.100   2.207961E-07   7.305479E-07
  13.200   1.845574E-07   6.388158E-07
  13.300   1.542665E-07   5.586022E-07
  13.400   1.289471E-07   4.884607E-07
  13.500   1.077834E-07   4.271266E-07
  13.600   9.009317E-08   3.734940E-07
  13.700   7.552333E-08   3.303394E-07
  13.800   6.355059E-08   2.966004E-07
  13.900   5.347589E-08   2.663073E-07
  14.000   4.499834E-08   2.391081E-07
  14.100   3.786473E-08   2.146870E-07
  14.200   3.186202E-08   1.927600E-07
  14.300   2.681092E-08   1.730726E-07
  14.400   2.256058E-08   1.553959E-07
  14.500   1.898404E-08   1.395246E-07
  14.600   1.597449E-08   1.252744E-07
  14.700   1.344205E-08   1.124795E-07
  14.800   1.135070E-08   1.015832E-07
  14.900   9.621247E-09   9.232726E-08
  15.000   8.155304E-09   8.391468E-08
  15.100   6.912720E-09   7.626863E-08
  15.200   5.859463E-09   6.931926E-08
  15.300   4.966685E-09   6.300310E-08
  15.400   4.209935E-09   5.726244E-08
