 Z=  97 A= 208  Bk beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.752959E-02   6.538488E-02
   0.100   7.744571E-02   6.522074E-02
   0.200   7.736191E-02   6.505700E-02
   0.300   7.727821E-02   6.489368E-02
   0.400   7.715104E-02   6.464499E-02
   0.500   7.699401E-02   6.433819E-02
   0.600   7.679801E-02   6.395502E-02
   0.700   7.659040E-02   6.355026E-02
   0.800   7.637849E-02   6.313742E-02
   0.900   7.615399E-02   6.269856E-02
   1.000   7.594410E-02   6.228367E-02
   1.100   7.575237E-02   6.189777E-02
   1.200   7.556112E-02   6.151426E-02
   1.300   7.544882E-02   6.125253E-02
   1.400   7.535674E-02   6.102183E-02
   1.500   7.537957E-02   6.096210E-02
   1.600   7.540241E-02   6.090242E-02
   1.700   7.552054E-02   6.097588E-02
   1.800   7.569642E-02   6.112985E-02
   1.900   7.598717E-02   6.143275E-02
   2.000   7.630815E-02   6.177499E-02
   2.100   7.666204E-02   6.215699E-02
   2.200   7.709089E-02   6.262950E-02
   2.300   7.754121E-02   6.312539E-02
   2.400   7.801537E-02   6.364725E-02
   2.500   7.849243E-02   6.417343E-02
   2.600   7.895040E-02   6.467373E-02
   2.700   7.939805E-02   6.516391E-02
   2.800   7.977853E-02   6.558314E-02
   2.900   8.016083E-02   6.600508E-02
   3.000   8.046562E-02   6.635257E-02
   3.100   8.073020E-02   6.666163E-02
   3.200   8.087874E-02   6.687309E-02
   3.300   8.100376E-02   6.706505E-02
   3.400   8.108352E-02   6.722469E-02
   3.500   8.107312E-02   6.731937E-02
   3.600   8.100969E-02   6.738859E-02
   3.700   8.089502E-02   6.743307E-02
   3.800   8.077978E-02   6.747761E-02
   3.900   8.060886E-02   6.752467E-02
   4.000   8.043816E-02   6.758131E-02
   4.100   8.026722E-02   6.767982E-02
   4.200   8.009664E-02   6.777848E-02
   4.300   7.994898E-02   6.792419E-02
   4.400   7.981166E-02   6.809125E-02
   4.500   7.969631E-02   6.829045E-02
   4.600   7.958455E-02   6.849525E-02
   4.700   7.946490E-02   6.869180E-02
   4.800   7.932541E-02   6.886642E-02
   4.900   7.913506E-02   6.898153E-02
   5.000   7.884421E-02   6.898885E-02
   5.100   7.851042E-02   6.894956E-02
   5.200   7.801142E-02   6.873617E-02
   5.300   7.736648E-02   6.837286E-02
   5.400   7.652418E-02   6.780934E-02
   5.500   7.541645E-02   6.698216E-02
   5.600   7.421730E-02   6.606055E-02
   5.700   7.268552E-02   6.481234E-02
   5.800   7.091533E-02   6.333112E-02
   5.900   6.885057E-02   6.156383E-02
   6.000   6.643056E-02   5.945641E-02
   6.100   6.394015E-02   5.727569E-02
   6.200   6.106311E-02   5.472786E-02
   6.300   5.797186E-02   5.197521E-02
   6.400   5.462819E-02   4.898392E-02
   6.500   5.100967E-02   4.573689E-02
   6.600   4.746436E-02   4.255294E-02
   6.700   4.368231E-02   3.914982E-02
   6.800   3.988360E-02   3.573021E-02
   6.900   3.606063E-02   3.229018E-02
   7.000   3.223623E-02   2.885076E-02
   7.100   2.869486E-02   2.566775E-02
   7.200   2.521521E-02   2.254303E-02
   7.300   2.196185E-02   1.962587E-02
   7.400   1.893044E-02   1.691092E-02
   7.500   1.613447E-02   1.441117E-02
   7.600   1.369505E-02   1.223156E-02
   7.700   1.148873E-02   1.026313E-02
   7.800   9.566730E-03   8.550676E-03
   7.900   7.902050E-03   7.069175E-03
   8.000   6.476985E-03   5.802672E-03
   8.100   5.294809E-03   4.751428E-03
   8.200   4.299118E-03   3.867025E-03
   8.300   3.478612E-03   3.138163E-03
   8.400   2.805863E-03   2.540447E-03
   8.500   2.258631E-03   2.054277E-03
   8.600   1.817077E-03   1.660752E-03
   8.700   1.460783E-03   1.343000E-03
   8.800   1.174483E-03   1.086862E-03
   8.900   9.448898E-04   8.809450E-04
   9.000   7.608030E-04   7.153225E-04
   9.100   6.127623E-04   5.812216E-04
   9.200   4.939387E-04   4.731720E-04
   9.300   3.982511E-04   3.855913E-04
   9.400   3.211817E-04   3.145898E-04
   9.500   2.589859E-04   2.569098E-04
   9.600   2.088193E-04   2.098815E-04
   9.700   1.683237E-04   1.716500E-04
   9.800   1.356671E-04   1.405138E-04
   9.900   1.093788E-04   1.152060E-04
  10.000   8.827275E-05   9.470616E-05
  10.100   7.127445E-05   7.794264E-05
  10.200   5.767215E-05   6.441844E-05
  10.300   4.676106E-05   5.343301E-05
  10.400   3.802669E-05   4.453943E-05
  10.500   3.103493E-05   3.734999E-05
  10.600   2.536205E-05   3.139143E-05
  10.700   2.080509E-05   2.656132E-05
  10.800   1.710067E-05   2.256773E-05
  10.900   1.408318E-05   1.926271E-05
  11.000   1.160507E-05   1.650534E-05
  11.100   9.563366E-06   1.416062E-05
  11.200   7.873637E-06   1.218343E-05
  11.300   6.472255E-06   1.049331E-05
  11.400   5.309256E-06   9.044922E-06
  11.500   4.343842E-06   7.798917E-06
  11.600   3.550820E-06   6.725203E-06
  11.700   2.896313E-06   5.800259E-06
  11.800   2.385724E-06   5.022610E-06
  11.900   1.969909E-06   4.353525E-06
  12.000   1.626567E-06   3.773573E-06
  12.100   1.343067E-06   3.270878E-06
