   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing
  11  24 Na  1.5   6.875  9.500E+04  3.000E+04   8   1.886   16   3.589  -0.67667   0.14224   3.55522   0.215  -0.55591
  12  25 Mg  0.0   7.331  4.700E+05  1.400E+05   7   2.801   16   4.722  -1.35233   0.14032   3.25537   0.195  -1.03557
  12  26 Mg  2.5  11.093  4.300E+04  1.700E+04   7   4.350   25   7.242  -0.54881   0.13849   3.35300   0.245   1.39033
  12  27 Mg  0.0   6.443  2.600E+05  5.000E+04   8   3.562   29   5.909  -0.50603   0.13676   4.38109   0.170   1.59493
  13  28 Al  2.5   7.725  4.500E+04  1.500E+04   6   1.623   20   3.591  -1.98058   0.13512   3.86539   0.205  -2.20877
  14  29 Si  0.0   8.395  2.000E+05  6.000E+04   5   3.624   24   6.713  -3.71992   0.13354   5.03704   0.225   0.81320
  14  30 Si  0.5  10.609  3.500E+05  1.600E+05   4   3.788   19   6.915  -2.12810   0.13204   2.97343   0.225  -0.27317
  15  32 P   0.5   7.936  7.500E+04  2.000E+04   8   2.230   15   3.443  -2.70541   0.12923   4.35782   0.160  -1.29543
  16  33 S   0.0   8.642  1.500E+05  3.500E+04   2   1.967   25   5.282  -2.39951   0.12791   4.13102   0.135  -1.07615
  16  34 S   1.5  11.417  2.700E+04  1.000E+04   8   4.877   15   5.756  -1.35992   0.12665   4.07322   0.225   1.11060
  16  35 S   0.0   6.986  2.000E+05  7.000E+04   6   3.421   17   4.180  -0.58071   0.12543   4.20350   0.250  -0.55283
  17  36 Cl  1.5   8.580  2.300E+04  6.000E+03   8   2.518   17   3.332  -1.64007   0.12426   4.25988   0.160  -1.93732
  17  38 Cl  1.5   6.108  1.500E+04  4.000E+03   2   0.755   15   3.254   0.87171   0.12204   5.50687   0.270   0.43800
  18  41 Ar  0.0   6.010  7.020E+04  1.700E+04   7   1.988   15   3.010   3.12748   0.11899   5.30004   0.265   0.85504
  19  40 K   1.5   7.800  1.500E+04  5.000E+03   8   2.104   19   2.747   0.14772   0.11997   4.49523   0.230  -1.76553
  19  42 K   1.5   7.534  1.500E+04  5.000E+03   8   1.111   16   1.400   2.22300   0.11803   4.17979   0.230  -2.96797
  20  41 Ca  0.0   8.363  3.260E+04  4.300E+03   6   2.671   16   3.614  -0.14840   0.11899   5.47243   0.105   0.32757
  20  43 Ca  0.0   7.933  2.000E+04  5.000E+03   3   0.990   29   3.030   1.99300   0.11711   5.52099   0.220  -0.17617
