   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  11  24 Na  1.5   6.875  9.500E+04  3.000E+04   8   1.886   16   3.589  -0.67667   0.15014   3.70426   0.260   0.00000   7.64831  -1.72497   2.01313
  12  25 Mg  0.0   7.331  4.700E+05  1.400E+05   7   2.801   16   4.722  -1.35233   0.14811   4.27887   0.540   2.40000  16.26218  -0.99143   2.10724
  12  26 Mg  2.5  11.093  4.300E+04  1.700E+04   7   4.350   25   7.242  -0.54881   0.14619   4.67052   0.505   4.70679  15.28490   1.43826   1.85615
  12  27 Mg  0.0   6.443  2.600E+05  5.000E+04   8   3.562   29   5.909  -0.50603   0.14436   5.00262   0.260   2.30940   3.94232   2.54167   1.06512
  13  28 Al  2.5   7.725  4.500E+04  1.500E+04   6   1.623   20   3.591  -1.98058   0.14262   4.62007   0.340   0.00000  11.45097  -2.45558   1.95468
  14  29 Si  0.0   8.395  2.000E+05  6.000E+04   5   3.624   24   6.713  -3.71992   0.14097   6.05917   0.460   2.22834  12.82699   2.03277   1.51740
  14  30 Si  0.5  10.609  3.500E+05  1.600E+05   4   3.788   19   6.915  -2.12810   0.13938   3.33081   0.025   4.38178   8.67680   5.21375   1.97046
  15  32 P   0.5   7.936  7.500E+04  2.000E+04   8   2.230   15   3.443  -2.70541   0.13641   4.83793   0.230   0.00000  11.41360  -1.65279   1.89176
  16  33 S   0.0   8.642  1.500E+05  3.500E+04   2   1.967   25   5.282  -2.39951   0.13502   5.34419   0.270   2.08893  15.08805  -0.89101   1.85953
  16  34 S   1.5  11.417  2.700E+04  1.000E+04   8   4.877   15   5.756  -1.35992   0.13369   4.96803   0.420   4.11597  17.95038  -0.24497   2.01097
  16  35 S   0.0   6.986  2.000E+05  7.000E+04   6   3.421   17   4.180  -0.58071   0.13240   4.32396   0.830   2.02837  19.44121  -4.74375   2.40798
  17  36 Cl  1.5   8.580  2.300E+04  6.000E+03   8   2.518   17   3.332  -1.64007   0.13116   4.90607   0.235   0.00000  11.72317  -2.89502   1.91218
