 Z=  26 A=  44  Fe beta2= 0.12 nrho= 144
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.374468E-02  -4.499593E-16  -7.285839E-16  -5.128800E-16  -1.115782E-15   9.495211E-02  -4.965068E-16  -7.077672E-16  -8.756488E-16  -2.531967E-15
   0.100   8.363508E-02  -1.798678E-05  -5.231457E-09  -3.416782E-13   2.002685E-16   9.482019E-02   7.476628E-06  -1.195954E-09   1.771312E-14  -8.153791E-16
   0.200   8.331047E-02  -7.103387E-05  -8.301931E-08  -2.163718E-11  -4.377298E-15   9.442943E-02   2.922638E-05  -1.894256E-08   1.288054E-12  -8.869036E-16
   0.300   8.278325E-02  -1.564467E-04  -4.145814E-07  -2.430542E-10  -7.201085E-14   9.379465E-02   6.325360E-05  -9.432195E-08   1.633767E-11  -2.569159E-14
   0.400   8.207351E-02  -2.698820E-04  -1.285484E-06  -1.339366E-09  -6.861916E-13   9.293988E-02   1.063798E-04  -2.914635E-07   1.041736E-10  -2.464448E-13
   0.500   8.120810E-02  -4.055583E-04  -3.062351E-06  -4.983424E-09  -3.976690E-12   9.189738E-02   1.544593E-04  -6.920431E-07   4.540771E-10  -1.325549E-12
   0.600   8.021950E-02  -5.565314E-04  -6.162920E-06  -1.443436E-08  -1.655862E-11   9.070626E-02   2.026698E-04  -1.389395E-06   1.545278E-09  -4.977818E-12
   0.700   7.914428E-02  -7.150150E-04  -1.102182E-05  -3.511461E-08  -5.472598E-11   8.941090E-02   2.458654E-04  -2.483596E-06   4.401999E-09  -1.429614E-11
   0.800   7.802142E-02  -8.727285E-04  -1.805467E-05  -7.507445E-08  -1.524659E-10   8.805902E-02   2.789753E-04  -4.078704E-06   1.094201E-08  -3.283002E-11
   0.900   7.689037E-02  -1.021251E-03  -2.762326E-05  -1.452522E-07  -3.722842E-10   8.669961E-02   2.974286E-04  -6.282890E-06   2.438443E-08  -6.058285E-11
   1.000   7.578907E-02  -1.152360E-03  -4.000414E-05  -2.594591E-07  -8.181286E-10   8.538072E-02   2.975790E-04  -9.211520E-06   4.964500E-08  -8.456442E-11
   1.100   7.475193E-02  -1.258348E-03  -5.536288E-05  -4.340487E-07  -1.649115E-09   8.414732E-02   2.771034E-04  -1.299245E-05   9.361226E-08  -6.127076E-11
   1.200   7.380789E-02  -1.332290E-03  -7.373537E-05  -6.872667E-07  -3.092012E-09   8.303905E-02   2.353425E-04  -1.777206E-05   1.651763E-07   1.109500E-10
   1.300   7.297866E-02  -1.368267E-03  -9.501713E-05  -1.038315E-06  -5.450204E-09   8.208832E-02   1.735566E-04  -2.372001E-05   2.748809E-07   6.302494E-10
   1.400   7.227729E-02  -1.361544E-03  -1.189609E-04  -1.506191E-06  -9.106754E-09   8.131854E-02   9.506683E-05  -3.103027E-05   4.340971E-07   1.838544E-09
   1.500   7.170711E-02  -1.308686E-03  -1.451822E-04  -2.108404E-06  -1.451958E-08   8.074272E-02   5.261265E-06  -3.991640E-05   6.536718E-07   4.272626E-09
   1.600   7.126115E-02  -1.207639E-03  -1.731719E-04  -2.859652E-06  -2.220755E-08   8.036251E-02  -8.854864E-05  -5.059930E-05   9.420874E-07   8.710633E-09
