 Z=  32 A=  58  Ge beta2= 0.23 nrho= 154
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   9.174990E-02  -4.809910E-16  -7.077672E-16  -8.005932E-16  -7.152448E-16   8.269872E-02  -4.499593E-16  -5.828671E-16  -1.075797E-15  -1.029953E-15
   0.100   9.159804E-02   9.444298E-06  -7.401179E-09  -4.331209E-13  -1.273136E-15   8.273438E-02   6.399404E-05   2.327886E-08   1.377145E-12  -2.174344E-15
   0.200   9.114785E-02   3.679683E-05  -1.177159E-07  -2.694869E-11   2.616366E-14   8.283932E-02   2.528524E-04   3.697646E-07   8.840589E-11   7.482891E-14
   0.300   9.041539E-02   7.918053E-05  -5.901027E-07  -2.938069E-10   6.906118E-13   8.300747E-02   5.573511E-04   1.849266E-06   1.011173E-09   1.956638E-12
   0.400   8.942663E-02   1.320113E-04  -1.839826E-06  -1.550874E-09   6.929993E-12   8.322913E-02   9.626010E-04   5.744924E-06   5.710395E-09   1.933692E-11
   0.500   8.821648E-02   1.893061E-04  -4.415207E-06  -5.448195E-09   4.136544E-11   8.349156E-02   1.448754E-03   1.371552E-05   2.190125E-08   1.134307E-10
   0.600   8.682730E-02   2.440976E-04  -8.968920E-06  -1.465769E-08   1.779945E-10   8.377970E-02   1.991948E-03   2.766326E-05   6.572152E-08   4.782331E-10
   0.700   8.530720E-02   2.889374E-04  -1.622649E-05  -3.249232E-08   6.105949E-10   8.407711E-02   2.565456E-03   4.957212E-05   1.663385E-07   1.603446E-09
   0.800   8.370804E-02   3.164652E-04  -2.695474E-05  -6.184434E-08   1.772869E-09   8.436695E-02   3.140986E-03   8.132396E-05   3.712219E-07   4.541295E-09
   0.900   8.208329E-02   3.200167E-04  -4.193243E-05  -1.034170E-07   4.527425E-09   8.463299E-02   3.690070E-03   1.245020E-04   7.515434E-07   1.129544E-08
   1.000   8.048578E-02   2.942354E-04  -6.192428E-05  -1.534231E-07   1.043708E-08   8.486055E-02   4.185496E-03   1.801932E-04   1.406898E-06   2.533551E-08
   1.100   7.896549E-02   2.356529E-04  -8.765871E-05  -2.011337E-07   2.212355E-08   8.503737E-02   4.602696E-03   2.488034E-04   2.468313E-06   5.222096E-08
   1.200   7.756739E-02   1.431981E-04  -1.198079E-04  -2.268328E-07   4.370442E-08   8.515424E-02   4.921040E-03   3.299006E-04   4.098368E-06   1.002925E-07
   1.300   7.632953E-02   1.859598E-05  -1.589687E-04  -2.008341E-07   8.128028E-08   8.520541E-02   5.124954E-03   4.221003E-04   6.487283E-06   1.813623E-07
   1.400   7.528133E-02  -1.333815E-04  -2.056410E-04  -8.420306E-08   1.434210E-07   8.518869E-02   5.204823E-03   5.230085E-04   9.844025E-06   3.113072E-07
   1.500   7.444225E-02  -3.048424E-04  -2.602018E-04   1.683159E-07   2.415771E-07   8.510526E-02   5.157603E-03   6.292333E-04   1.438193E-05   5.104459E-07
   1.600   7.382086E-02  -4.849043E-04  -3.228725E-04   6.029276E-07   3.903218E-07   8.495912E-02   4.987116E-03   7.364724E-04   2.029892E-05   8.035679E-07
   1.700   7.341436E-02  -6.600355E-04  -3.936788E-04   1.259098E-06   6.073181E-07   8.475629E-02   4.703998E-03   8.396793E-04   2.775320E-05   1.219481E-06
