 Z=  33 A=  60  As beta2= 0.19 nrho= 156
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   9.278903E-02  -4.809910E-16  -6.661338E-16  -1.200890E-15   6.294154E-16   8.223789E-02  -4.189276E-16  -6.973588E-16  -5.003708E-16  -2.632101E-15
   0.100   9.261827E-02   5.273680E-06  -6.377033E-09   1.240544E-13  -1.358965E-15   8.230673E-02   5.576890E-05   2.621860E-08   1.898369E-12  -9.012085E-16
   0.200   9.211219E-02   2.027238E-05  -1.013617E-07   8.249700E-12   2.380335E-14   8.250968E-02   2.202941E-04   4.164298E-07   1.216362E-10   1.097185E-13
   0.300   9.128918E-02   4.258566E-05  -5.075682E-07   9.890510E-11   6.329917E-13   8.283614E-02   4.853682E-04   2.082437E-06   1.387263E-09   2.809210E-12
   0.400   9.017905E-02   6.838253E-05  -1.580050E-06   5.927432E-10   6.290378E-12   8.326912E-02   8.377634E-04   6.468618E-06   7.804641E-09   2.762955E-11
   0.500   8.882176E-02   9.268266E-05  -3.784082E-06   2.431765E-09   3.712857E-11   8.378615E-02   1.259884E-03   1.544223E-05   2.979908E-08   1.613821E-10
   0.600   8.726584E-02   1.097197E-04  -7.667264E-06   7.835955E-09   1.577382E-10   8.436048E-02   1.730640E-03   3.114643E-05   8.897849E-08   6.769029E-10
   0.700   8.556630E-02   1.133797E-04  -1.382862E-05   2.130947E-08   5.334708E-10   8.496258E-02   2.226490E-03   5.582280E-05   2.240358E-07   2.256137E-09
   0.800   8.378242E-02   9.769411E-05  -2.288738E-05   5.100888E-08   1.525488E-09   8.556173E-02   2.722613E-03   9.161231E-05   4.974110E-07   6.347528E-09
   0.900   8.197528E-02   5.736116E-05  -3.545385E-05   1.103975E-07   3.834074E-09   8.612775E-02   3.194157E-03   1.403456E-04   1.002083E-06   1.567337E-08
   1.000   8.020520E-02  -1.173316E-05  -5.210405E-05   2.200031E-07   8.695917E-09   8.663260E-02   3.617483E-03   2.033354E-04   1.867598E-06   3.488084E-08
   1.100   7.852926E-02  -1.120261E-04  -7.335905E-05   4.089896E-07   1.813454E-08   8.705189E-02   3.971374E-03   2.811852E-04   3.264215E-06   7.130322E-08
   1.200   7.699891E-02  -2.438547E-04  -9.966868E-05   7.161727E-07   3.525377E-08   8.736615E-02   4.238131E-03   3.736281E-04   5.403924E-06   1.357686E-07
   1.300   7.565781E-02  -4.051293E-04  -1.313989E-04   1.190075E-06   6.455324E-08   8.756170E-02   4.404506E-03   4.794117E-04   8.537095E-06   2.433652E-07
   1.400   7.453998E-02  -5.911354E-04  -1.688206E-04   1.887639E-06   1.122325E-07   8.763120E-02   4.462435E-03   5.962388E-04   1.294377E-05   4.140510E-07
   1.500   7.366833E-02  -7.944873E-04  -2.120988E-04   2.871335E-06   1.864394E-07   8.757364E-02   4.409512E-03   7.207775E-04   1.891897E-05   6.729796E-07
   1.600   7.305365E-02  -1.005251E-03  -2.612789E-04   4.204538E-06   2.974079E-07   8.739391E-02   4.249206E-03   8.487432E-04   2.675201E-05   1.050415E-06
   1.700   7.269414E-02  -1.211244E-03  -3.162698E-04   5.945309E-06   4.574295E-07   8.710193E-02   3.990770E-03   9.750554E-04   3.670058E-05   1.581121E-06
   1.800   7.257531E-02  -1.398513E-03  -3.768234E-04   8.138944E-06   6.806013E-07   8.671128E-02   3.648871E-03   1.094065E-03   4.896115E-05   2.303136E-06
   1.900   7.267060E-02  -1.551964E-03  -4.425101E-04   1.080990E-05   9.823062E-07   8.623765E-02   3.242931E-03   1.199840E-03   6.363789E-05   3.255899E-06
   2.000   7.294235E-02  -1.656131E-03  -5.126934E-04   1.395395E-05   1.378403E-06   8.569696E-02   2.796215E-03   1.286497E-03   8.071311E-05   4.477735E-06
   2.100   7.334329E-02  -1.696026E-03  -5.865068E-04   1.753143E-05   1.884127E-06   8.510358E-02   2.334700E-03   1.348552E-03   1.000224E-04   6.002800E-06
   2.200   7.381850E-02  -1.658042E-03  -6.628360E-04   2.146267E-05   2.512744E-06   8.446850E-02   1.885781E-03   1.381274E-03   1.212379E-04   7.857640E-06
