 Z=  37 A=  69  Rb beta2=-0.24 nrho= 161
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.450281E-02  -4.344435E-16  -6.869505E-16  -7.380469E-16  -7.152448E-17   7.701903E-02  -4.189276E-16  -6.245005E-16  -4.753522E-16  -1.745197E-15
   0.100   8.448288E-02  -4.655365E-05  -9.472762E-09   5.035544E-12  -7.152448E-17   7.710359E-02  -3.983032E-05   1.106396E-08   7.272639E-13   1.001343E-16
   0.200   8.442300E-02  -1.836076E-04  -1.501292E-07   3.201235E-10   6.680386E-14   7.735342E-02  -1.573558E-04   1.764050E-07   4.531663E-11   3.233479E-13
   0.300   8.432288E-02  -4.034708E-04  -7.481772E-07   3.604848E-09   1.693027E-12   7.775715E-02  -3.467700E-04   8.876646E-07   4.926238E-10   8.210424E-12
   0.400   8.418213E-02  -6.937531E-04  -2.313818E-06   1.993286E-08   1.620643E-11   7.829645E-02  -5.986936E-04   2.780558E-06   2.589004E-09   8.027986E-11
   0.500   8.400036E-02  -1.037991E-03  -5.496195E-06   7.449567E-08   9.122115E-11   7.894681E-02  -9.006076E-04   6.706086E-06   9.040189E-09   4.654219E-10
   0.600   8.377730E-02  -1.416491E-03  -1.102984E-05   2.169699E-07   3.649901E-10   7.967878E-02  -1.237437E-03   1.368457E-05   2.412434E-08   1.934433E-09
   0.700   8.351304E-02  -1.807351E-03  -1.968030E-05   5.313440E-07   1.147253E-09   8.045931E-02  -1.592260E-03   2.483869E-05   5.290348E-08   6.377865E-09
   0.800   8.320814E-02  -2.187630E-03  -3.219660E-05   1.144934E-06   3.003522E-09   8.125332E-02  -1.947117E-03   4.130300E-05   9.926444E-08   1.771875E-08
   0.900   8.286386E-02  -2.534604E-03  -4.927676E-05   2.235399E-06   6.790949E-09   8.202544E-02  -2.283881E-03   6.410972E-05   1.628397E-07   4.312481E-08
   1.000   8.248235E-02  -2.827047E-03  -7.155021E-05   4.034809E-06   1.356310E-08   8.274162E-02  -2.585166E-03   9.405444E-05   2.352779E-07   9.442404E-08
   1.100   8.206671E-02  -3.046489E-03  -9.957768E-05   6.830128E-06   2.423618E-08   8.337084E-02  -2.835222E-03   1.315490E-04   2.967773E-07   1.895406E-07
   1.200   8.162114E-02  -3.178372E-03  -1.338657E-04   1.095988E-05   3.889754E-08   8.388656E-02  -3.020793E-03   1.764737E-04   3.141727E-07   3.536903E-07
   1.300   8.115087E-02  -3.213042E-03  -1.748897E-04   1.680715E-05   5.564640E-08   8.426794E-02  -3.131884E-03   2.280431E-04   2.420648E-07   6.200195E-07
   1.400   8.066204E-02  -3.146512E-03  -2.231165E-04   2.478929E-05   6.889027E-08   8.450076E-02  -3.162417E-03   2.847043E-04   2.842616E-08   1.029357E-06
   1.500   8.016149E-02  -2.980948E-03  -2.790174E-04   3.534514E-05   6.708059E-08   8.457792E-02  -3.110728E-03   3.440847E-04  -3.742649E-07   1.628777E-06
   1.600   7.965636E-02  -2.724833E-03  -3.430617E-04   4.892021E-05   2.995421E-08   8.449950E-02  -2.979880E-03   4.030046E-04  -9.920147E-07   2.468748E-06
   1.700   7.915367E-02  -2.392779E-03  -4.156831E-04   6.595062E-05  -7.455338E-08   8.427243E-02  -2.777759E-03   4.575685E-04  -1.807070E-06   3.598782E-06
   1.800   7.865967E-02  -2.004980E-03  -4.972157E-04   8.684614E-05  -2.934516E-07   8.390959E-02  -2.516948E-03   5.033379E-04  -2.732227E-06   5.061660E-06
   1.900   7.817924E-02  -1.586326E-03  -5.878002E-04   1.119724E-04  -6.915265E-07   8.342866E-02  -2.214344E-03   5.355854E-04  -3.584622E-06   6.886520E-06
   2.000   7.771517E-02  -1.165204E-03  -6.872662E-04   1.416325E-04  -1.353416E-06   8.285053E-02  -1.890541E-03   5.496161E-04  -4.062882E-06   9.081289E-06
   2.100   7.726752E-02  -7.720513E-04  -7.950021E-04   1.760469E-04  -2.384448E-06   8.219755E-02  -1.568975E-03   5.411375E-04  -3.732037E-06   1.162514E-05
   2.200   7.683303E-02  -4.377233E-04  -9.098277E-04   2.153334E-04  -3.909771E-06   8.149162E-02  -1.274869E-03   5.066477E-04  -2.020560E-06   1.446185E-05
   2.300   7.640465E-02  -1.917844E-04  -1.029887E-03   2.594845E-04  -6.071379E-06   8.075234E-02  -1.034003E-03   4.438100E-04   1.766798E-06   1.749484E-05
   2.400   7.597126E-02  -6.080707E-05  -1.152583E-03   3.083456E-04  -9.022767E-06   7.999531E-02  -8.713867E-04   3.517756E-04   8.418136E-06   2.058506E-05
   2.500   7.551764E-02  -6.679037E-05  -1.274562E-03   3.615930E-04  -1.292115E-05   7.923071E-02  -8.098770E-04   2.314215E-04   1.876518E-05   2.355219E-05
   2.600   7.502473E-02  -2.257964E-04  -1.391774E-03   4.187145E-04  -1.791741E-05   7.846230E-02  -8.688415E-04   8.547203E-05   3.361778E-05   2.618001E-05
