 Z=  40 A=  74  Zr beta2=-0.24 nrho= 164
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.802120E-02  -4.034118E-16  -6.036838E-16  -8.131025E-16   1.430490E-17   7.490683E-02  -3.878960E-16  -5.620504E-16  -8.131025E-16  -9.584281E-16
   0.100   7.805992E-02  -5.973423E-05  -5.317454E-09   8.939123E-12  -2.503357E-15   7.499159E-02  -2.933677E-05   2.508628E-08  -4.098024E-12   7.295497E-16
   0.200   7.817399E-02  -2.358072E-04  -8.424759E-08   5.674954E-10  -1.573539E-13   7.524219E-02  -1.159947E-04   3.985506E-07  -2.624984E-10   2.709204E-13
   0.300   7.835721E-02  -5.189821E-04  -4.196800E-07   6.376998E-09  -3.979636E-12   7.564785E-02  -2.559734E-04   1.993869E-06  -2.994422E-09   6.915302E-12
   0.400   7.859955E-02  -8.943648E-04  -1.297456E-06   3.515656E-08  -3.941461E-11   7.619107E-02  -4.427928E-04   6.196906E-06  -1.685135E-08   6.836009E-11
   0.500   7.888769E-02  -1.342135E-03  -3.081806E-06   1.308838E-07  -2.323202E-10   7.684852E-02  -6.677669E-04   1.480297E-05  -6.436392E-08   4.018875E-10
   0.600   7.920560E-02  -1.838523E-03  -6.188108E-06   3.793754E-07  -9.850040E-10   7.759198E-02  -9.203736E-04   2.987689E-05  -1.922678E-07   1.698976E-09
   0.700   7.953538E-02  -2.357004E-03  -1.105861E-05   9.237203E-07  -3.323540E-09   7.838973E-02  -1.188708E-03   5.358083E-05  -4.843239E-07   5.714530E-09
   0.800   7.985808E-02  -2.869637E-03  -1.814658E-05   1.976978E-06  -9.478224E-09   7.920791E-02  -1.460001E-03   8.797660E-05  -1.075807E-06   1.624350E-08
   0.900   8.015470E-02  -3.348513E-03  -2.791290E-05   3.829803E-06  -2.374942E-08   8.001215E-02  -1.721193E-03   1.348116E-04  -2.168263E-06   4.056569E-08
   1.000   8.040714E-02  -3.767227E-03  -4.083723E-05   6.851227E-06  -5.368473E-08   8.076911E-02  -1.959537E-03   1.952999E-04  -4.042512E-06   9.139347E-08
   1.100   8.059911E-02  -4.102315E-03  -5.744258E-05   1.148168E-05  -1.115536E-07   8.144811E-02  -2.163208E-03   2.699120E-04  -7.067324E-06   1.892880E-07
   1.200   8.071692E-02  -4.334577E-03  -7.832964E-05   1.821827E-05  -2.160557E-07   8.202249E-02  -2.321917E-03   3.581889E-04  -1.170082E-05   3.654196E-07
   1.300   8.075022E-02  -4.450219E-03  -1.042138E-04   2.759338E-05  -3.941469E-07   8.247086E-02  -2.427476E-03   4.585974E-04  -1.848171E-05   6.644424E-07
   1.400   8.069246E-02  -4.441750E-03  -1.359560E-04   4.014847E-05  -6.828155E-07   8.277807E-02  -2.474328E-03   5.684430E-04  -2.800772E-05   1.147144E-06
   1.500   8.054112E-02  -4.308574E-03  -1.745776E-04   5.640551E-05  -1.130607E-06   8.293577E-02  -2.459984E-03   6.838539E-04  -4.089990E-05   1.892429E-06
   1.600   8.029773E-02  -4.057245E-03  -2.212492E-04   7.683899E-05  -1.798679E-06   8.294265E-02  -2.385365E-03   7.998504E-04  -5.775242E-05   2.998115E-06
   1.700   7.996753E-02  -3.701340E-03  -2.772464E-04   1.018507E-04  -2.761182E-06   8.280422E-02  -2.255023E-03   9.105035E-04  -7.906968E-05   4.580009E-06
