 Z=  44 A=  83  Ru beta2= 0.00 nrho= 169
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.109571E-02  -4.189276E-16  -6.661338E-16  -5.253893E-16  -1.587843E-15   7.353878E-02  -3.723801E-16  -5.932754E-16  -3.752781E-16  -2.589186E-15
   0.100   8.116449E-02   5.177635E-14  -6.765422E-16  -1.150853E-15   4.863665E-16   7.365734E-02  -3.402623E-14  -6.869505E-16  -7.630654E-16   2.574881E-16
   0.200   8.136660E-02   2.056159E-13  -3.330669E-16  -7.005191E-16  -2.617796E-15   7.400744E-02  -1.305813E-13  -1.821460E-15  -8.256117E-16  -1.258831E-15
   0.300   8.168968E-02   4.529228E-13   4.579670E-16  -1.401038E-15   8.582938E-16   7.457263E-02  -2.795644E-13  -8.160139E-15  -1.050779E-15  -7.724644E-16
   0.400   8.211389E-02   7.798726E-13   2.622902E-15  -3.502595E-16  -2.303088E-15   7.532647E-02  -4.664371E-13  -2.318978E-14  -8.256117E-16   2.145734E-16
   0.500   8.261303E-02   1.168358E-12   8.305856E-15  -1.088306E-15  -1.916856E-15   7.623387E-02  -6.693998E-13  -5.359255E-14  -1.125834E-15  -1.330355E-15
   0.600   8.315596E-02   1.597138E-12   1.830827E-14  -1.501112E-15  -1.130087E-15   7.725292E-02  -8.675681E-13  -1.046142E-13  -1.175871E-15  -1.087172E-15
   0.700   8.370840E-02   2.042505E-12   3.567979E-14  -2.326724E-15  -2.446137E-15   7.833704E-02  -1.037637E-12  -1.808970E-13  -1.501112E-15  -2.374613E-15
   0.800   8.423477E-02   2.478360E-12   6.382395E-14  -5.028726E-15  -1.201611E-15   7.943725E-02  -1.161050E-12  -2.840020E-13  -2.489344E-15  -1.287441E-15
   0.900   8.470018E-02   2.879988E-12   1.055822E-13  -9.006674E-15  -5.435861E-16   8.050464E-02  -1.221686E-12  -4.143352E-13  -5.103782E-15   1.516319E-15
   1.000   8.507229E-02   3.224052E-12   1.649098E-13  -1.518625E-14  -2.131430E-15   8.149270E-02  -1.209351E-12  -5.673795E-13  -9.507044E-15  -5.865008E-16
   1.100   8.532314E-02   3.489791E-12   2.444295E-13  -2.401780E-14  -2.760845E-15   8.235947E-02  -1.119763E-12  -7.393253E-13  -1.408544E-14  -1.602148E-15
   1.200   8.543058E-02   3.659612E-12   3.476802E-13  -3.675223E-14  -4.105505E-15   8.306947E-02  -9.589564E-13  -9.169956E-13  -2.265429E-14  -1.587843E-15
   1.300   8.537948E-02   3.722420E-12   4.750783E-13  -5.331450E-14  -4.706311E-15   8.359521E-02  -7.353266E-13  -1.091627E-12  -3.314956E-14   5.435861E-16
   1.400   8.516247E-02   3.672335E-12   6.267486E-13  -7.342941E-14  -7.595900E-15   8.391827E-02  -4.641873E-13  -1.248730E-12  -4.742264E-14  -3.147077E-16
   1.500   8.478030E-02   3.509434E-12   7.998602E-13  -9.704691E-14  -1.318911E-14   8.402994E-02  -1.649489E-13  -1.377419E-12  -6.310926E-14  -2.617796E-15
   1.600   8.424169E-02   3.238792E-12   9.916651E-13  -1.250927E-13  -1.944035E-14   8.393138E-02   1.373152E-13  -1.461331E-12  -8.391218E-14  -2.374613E-15
   1.700   8.356277E-02   2.874573E-12   1.192504E-12  -1.547146E-13  -2.663572E-14   8.363322E-02   4.250098E-13  -1.497510E-12  -1.057033E-13  -2.918199E-15
   1.800   8.276602E-02   2.432077E-12   1.396768E-12  -1.859628E-13  -3.692094E-14   8.315481E-02   6.732633E-13  -1.472426E-12  -1.326108E-13  -1.487709E-15
   1.900   8.187896E-02   1.933816E-12   1.592320E-12  -2.161852E-13  -4.943772E-14   8.252297E-02   8.683439E-13  -1.388254E-12  -1.602437E-13  -1.430490E-15
   2.000   8.093240E-02   1.405425E-12   1.766816E-12  -2.429675E-13  -6.800548E-14   8.177041E-02   1.000461E-12  -1.248918E-12  -1.852373E-13  -8.311145E-15
   2.100   7.995856E-02   8.686077E-13   1.912657E-12  -2.670354E-13  -8.833273E-14   8.093381E-02   1.055108E-12  -1.051981E-12  -2.167356E-13  -7.724644E-15
   2.200   7.898904E-02   3.516355E-13   2.015450E-12  -2.841230E-13  -1.086028E-13   8.005171E-02   1.037544E-12  -8.162429E-13  -2.436931E-13  -8.468499E-15
   2.300   7.805276E-02  -1.211787E-13   2.065733E-12  -2.915410E-13  -1.338366E-13   7.916233E-02   9.557446E-13  -5.551809E-13  -2.646961E-13  -1.364687E-14
