 Z=  47 A=  89  Ag beta2= 0.03 nrho= 172
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.095160E-02  -3.568643E-16  -6.453171E-16  -2.501854E-16  -1.974076E-15   6.894247E-02  -3.413484E-16  -6.036838E-16  -5.253893E-16  -1.845332E-15
   0.100   7.108989E-02  -7.404883E-07  -1.552958E-10   1.343496E-14  -5.149763E-16   6.906388E-02  -1.099854E-06  -2.549711E-10  -2.618190E-14  -8.153791E-16
   0.200   7.149907E-02  -2.852909E-06  -2.471282E-09   8.702698E-13   5.721958E-17   6.942317E-02  -4.282169E-06  -4.045256E-09  -1.619125E-12  -2.946809E-15
   0.300   7.216223E-02  -6.019065E-06  -1.239643E-08   9.563499E-12   1.567817E-14   7.000571E-02  -9.205258E-06  -2.019247E-08  -1.832613E-11  -2.305949E-14
   0.400   7.305204E-02  -9.737736E-06  -3.866626E-08   5.102576E-11   1.617025E-13   7.078787E-02  -1.533232E-05  -6.256667E-08  -1.020525E-10  -2.117125E-13
   0.500   7.413190E-02  -1.336603E-05  -9.276752E-08   1.818665E-10   9.260275E-13   7.173805E-02  -2.197761E-05  -1.488922E-07  -3.845929E-10  -1.270947E-12
   0.600   7.535753E-02  -1.617283E-05  -1.881607E-07   4.986421E-10   3.826402E-12   7.281807E-02  -2.836546E-05  -2.991849E-07  -1.130295E-09  -5.499618E-12
   0.700   7.667893E-02  -1.740025E-05  -3.392515E-07   1.132751E-09   1.251803E-11   7.398494E-02  -3.369746E-05  -5.339268E-07  -2.793180E-09  -1.900434E-11
   0.800   7.804254E-02  -1.632838E-05  -5.601233E-07   2.225499E-09   3.445921E-11   7.519267E-02  -3.722186E-05  -8.721142E-07  -6.068737E-09  -5.564836E-11
   0.900   7.939359E-02  -1.233827E-05  -8.630706E-07   3.880268E-09   8.296232E-11   7.639442E-02  -3.829967E-05  -1.329336E-06  -1.192714E-08  -1.434936E-10
   1.000   8.067855E-02  -4.968174E-06  -1.257017E-06   6.093519E-09   1.793969E-10   7.754452E-02  -3.646172E-05  -1.916062E-06  -2.161151E-08  -3.343886E-10
   1.100   8.184748E-02   6.041686E-06  -1.745941E-06   8.671891E-09   3.550020E-10   7.860053E-02  -3.145177E-05  -2.636326E-06  -3.658285E-08  -7.172791E-10
   1.200   8.285623E-02   2.071958E-05  -2.327465E-06   1.114794E-08   6.518267E-10   7.952511E-02  -2.325196E-05  -3.486998E-06  -5.839310E-08  -1.435424E-09
   1.300   8.366839E-02   3.885101E-05  -2.991808E-06   1.271124E-08   1.122018E-09   8.028768E-02  -1.208784E-05  -4.457815E-06  -8.847072E-08  -2.707152E-09
   1.400   8.425689E-02   5.998721E-05  -3.721278E-06   1.217350E-08   1.825052E-09   8.086572E-02   1.587863E-06  -5.532302E-06  -1.278094E-07  -4.849029E-09
