 Z=  51 A= 100  Sb beta2= 0.05 nrho= 178
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   6.625668E-02  -3.568643E-16  -4.996004E-16  -5.629171E-16  -2.403223E-15   6.372884E-02  -3.258326E-16  -5.412337E-16  -5.629171E-16   1.001343E-16
   0.100   6.641074E-02   1.624784E-06  -2.806105E-09   6.840068E-14  -8.582938E-16   6.384763E-02  -1.147881E-05   1.035555E-08  -1.162536E-12  -1.058562E-15
   0.200   6.686703E-02   6.480812E-06  -4.464285E-08   4.366035E-12   3.547614E-15   6.420015E-02  -4.512501E-05   1.648087E-07  -7.380699E-11  -1.310328E-14
   0.300   6.760810E-02   1.451008E-05  -2.238701E-07   4.871233E-11   1.204043E-13   6.477496E-02  -9.860576E-05   8.269303E-07  -8.301650E-10  -2.869848E-13
   0.400   6.860563E-02   2.560612E-05  -6.982002E-07   2.658993E-10   1.166292E-12   6.555349E-02  -1.681581E-04   2.580796E-06  -4.582578E-09  -2.844200E-12
   0.500   6.982170E-02   3.960028E-05  -1.675706E-06   9.777440E-10   6.572499E-12   6.651065E-02  -2.487730E-04   6.198499E-06  -1.708683E-08  -1.683991E-11
   0.600   7.121030E-02   5.624461E-05  -3.402895E-06   2.793401E-09   2.632045E-11   6.761582E-02  -3.344460E-04   1.259542E-05  -4.961359E-08  -7.177728E-11
   0.700   7.271933E-02   7.519323E-05  -6.150491E-06   6.693321E-09   8.282356E-11   6.883390E-02  -4.184867E-04   2.277423E-05  -1.210242E-07  -2.436737E-10
   0.800   7.429274E-02   9.598451E-05  -1.019770E-05   1.408453E-08   2.171449E-10   7.012667E-02  -4.938757E-04   3.775903E-05  -2.594958E-07  -6.996487E-10
   0.900   7.587305E-02   1.180270E-04  -1.581583E-05   2.682520E-08   4.919164E-10   7.145415E-02  -5.536560E-04   5.852200E-05  -5.035492E-07  -1.765950E-09
   1.000   7.740370E-02   1.405915E-04  -2.325224E-05   4.723300E-08   9.851882E-10   7.277615E-02  -5.913419E-04   8.590514E-05  -9.020840E-07  -4.022830E-09
   1.100   7.883161E-02   1.628134E-04  -3.271553E-05   7.810949E-08   1.767746E-09   7.405375E-02  -6.013246E-04   1.205410E-04  -1.513211E-06  -8.426552E-09
   1.200   8.010949E-02   1.837057E-04  -4.436292E-05   1.228287E-07   2.855905E-09   7.525083E-02  -5.792526E-04   1.627771E-04  -2.401800E-06  -1.645492E-08
   1.300   8.119790E-02   2.021882E-04  -5.829049E-05   1.855477E-07   4.132721E-09   7.633544E-02  -5.223631E-04   2.126079E-04  -3.635783E-06  -3.026743E-08
   1.400   8.206700E-02   2.171311E-04  -7.452702E-05   2.715961E-07   5.233436E-09   7.728105E-02  -4.297407E-04   2.696213E-04  -5.281435E-06  -5.286622E-08
   1.500   8.269787E-02   2.274152E-04  -9.303166E-05   3.880908E-07   5.395786E-09   7.806761E-02  -3.024800E-04   3.329631E-04  -7.397934E-06  -8.823864E-08
   1.600   8.308325E-02   2.320084E-04  -1.136955E-04   5.447954E-07   3.282088E-09   7.868230E-02  -1.437354E-04   4.013254E-04  -1.003167E-05  -1.414597E-07
   1.700   8.322773E-02   2.300537E-04  -1.363470E-04   7.552077E-07  -3.212758E-09   7.912005E-02   4.135655E-05   4.729621E-04  -1.321075E-05  -2.187307E-07
   1.800   8.314735E-02   2.209666E-04  -1.607600E-04   1.037812E-06  -1.714609E-08   7.938363E-02   2.458863E-04   5.457327E-04  -1.694030E-05  -3.273323E-07
   1.900   8.286855E-02   2.045359E-04  -1.866650E-04   1.417385E-06  -4.267813E-08   7.948342E-02   4.615096E-04   6.171774E-04  -2.119893E-05  -4.754757E-07
   2.000   8.242656E-02   1.810195E-04  -2.137603E-04   1.926197E-06  -8.515810E-08   7.943680E-02   6.789007E-04   6.846177E-04  -2.593673E-05  -6.720417E-07
   2.100   8.186327E-02   1.512277E-04  -2.417249E-04   2.604916E-06  -1.511154E-07   7.926712E-02   8.882971E-04   7.452828E-04  -3.107508E-05  -9.262081E-07
   2.200   8.122470E-02   1.165852E-04  -2.702288E-04   3.503009E-06  -2.481296E-07   7.900238E-02   1.080105E-03   7.964513E-04  -3.650830E-05  -1.246978E-06
   2.300   8.055815E-02   7.916179E-05  -2.989424E-04   4.678436E-06  -3.845621E-07   7.867356E-02   1.245523E-03   8.356027E-04  -4.210700E-05  -1.642630E-06
   2.400   7.990927E-02   4.166530E-05  -3.275424E-04   6.196467E-06  -5.691428E-07   7.831274E-02   1.377144E-03   8.605687E-04  -4.772281E-05  -2.120121E-06
   2.500   7.931913E-02   7.389932E-06  -3.557145E-04   8.127529E-06  -8.104221E-07   7.795103E-02   1.469487E-03   8.696724E-04  -5.319425E-05  -2.684483E-06
   2.600   7.882147E-02  -1.988346E-05  -3.831536E-04   1.054404E-05  -1.116113E-06   7.761659E-02   1.519417E-03   8.618469E-04  -5.835311E-05  -3.338254E-06
   2.700   7.844043E-02  -3.603461E-05  -4.095599E-04   1.351632E-05  -1.492368E-06   7.733253E-02   1.526417E-03   8.367237E-04  -6.303102E-05  -4.080982E-06
   2.800   7.818866E-02  -3.679506E-05  -4.346338E-04   1.710779E-05  -1.943035E-06   7.711522E-02   1.492690E-03   7.946829E-04  -6.706567E-05  -4.908847E-06
   2.900   7.806624E-02  -1.797519E-05  -4.580700E-04   2.136965E-05  -2.468973E-06   7.697275E-02   1.423062E-03   7.368601E-04  -7.030642E-05  -5.814421E-06
   3.000   7.806022E-02   2.428471E-05  -4.795516E-04   2.633554E-05  -3.067479E-06   7.690398E-02   1.324717E-03   6.651092E-04  -7.261899E-05  -6.786598E-06
   3.100   7.814498E-02   9.325430E-05  -4.987465E-04   3.201648E-05  -3.731892E-06   7.689796E-02   1.206744E-03   5.819212E-04  -7.388934E-05  -7.810696E-06
   3.200   7.828336E-02   1.913615E-04  -5.153067E-04   3.839661E-05  -4.451431E-06   7.693403E-02   1.079549E-03   4.903035E-04  -7.402646E-05  -8.868741E-06
   3.300   7.842854E-02   3.199675E-04  -5.288724E-04   4.543008E-05  -5.211306E-06   7.698249E-02   9.541784E-04   3.936290E-04  -7.296449E-05  -9.939912E-06
   3.400   7.852640E-02   4.791864E-04  -5.390797E-04   5.303946E-05  -5.993101E-06   7.700585E-02   8.415746E-04   2.954617E-04  -7.066414E-05  -1.100114E-05
   3.500   7.851854E-02   6.677654E-04  -5.455744E-04   6.111597E-05  -6.775448E-06   7.696062E-02   7.518542E-04   1.993732E-04  -6.711364E-05  -1.202785E-05
   3.600   7.834537E-02   8.830377E-04  -5.480290E-04   6.952154E-05  -7.534927E-06   7.679950E-02   6.936373E-04   1.087606E-04  -6.232942E-05  -1.299474E-05
   3.700   7.794942E-02   1.120956E-03  -5.461632E-04   7.809278E-05  -8.247172E-06   7.647390E-02   6.734878E-04   2.667775E-05  -5.635641E-05  -1.387674E-05
   3.800   7.727855E-02   1.376211E-03  -5.397659E-04   8.664661E-05  -8.888084E-06   7.593664E-02   6.955030E-04  -4.430897E-05  -4.926822E-05  -1.464987E-05
   3.900   7.628874E-02   1.642420E-03  -5.287163E-04   9.498725E-05  -9.435081E-06   7.514455E-02   7.610785E-04  -1.022326E-04  -4.116675E-05  -1.529219E-05
   4.000   7.494651E-02   1.912399E-03  -5.130034E-04   1.029142E-04  -9.868298E-06   7.406100E-02   8.688625E-04  -1.457982E-04  -3.218139E-05  -1.578466E-05
   4.100   7.323073E-02   2.178475E-03  -4.927401E-04   1.102309E-04  -1.017165E-05   7.265797E-02   1.014897E-03  -1.744148E-04  -2.246737E-05  -1.611196E-05
   4.200   7.113370E-02   2.432838E-03  -4.681724E-04   1.167526E-04  -1.033369E-05   7.091779E-02   1.192931E-03  -1.881846E-04  -1.220319E-05  -1.626308E-05
   4.300   6.866148E-02   2.667906E-03  -4.396797E-04   1.223149E-04  -1.034819E-05   6.883422E-02   1.394870E-03  -1.878542E-04  -1.586886E-06  -1.623194E-05
   4.400   6.583357E-02   2.876681E-03  -4.077687E-04   1.267800E-04  -1.021444E-05   6.641290E-02   1.611333E-03  -1.747329E-04   9.168825E-06  -1.601763E-05
   4.500   6.268184E-02   3.053063E-03  -3.730588E-04   1.300426E-04  -9.937175E-06   6.367125E-02   1.832264E-03  -1.505850E-04   1.984256E-05  -1.562459E-05
   4.600   5.924885E-02   3.192131E-03  -3.362598E-04   1.320331E-04  -9.526316E-06   6.063764E-02   2.047555E-03  -1.175047E-04   3.021123E-05  -1.506246E-05
   4.700   5.558582E-02   3.290332E-03  -2.981447E-04   1.327201E-04  -8.996303E-06   5.735012E-02   2.247637E-03  -7.778422E-05   4.005761E-05  -1.434577E-05
   4.800   5.175017E-02   3.345616E-03  -2.595180E-04   1.321100E-04  -8.365295E-06   5.385461E-02   2.423996E-03  -3.378146E-05   4.917815E-05  -1.349338E-05
   4.900   4.780296E-02   3.357470E-03  -2.211819E-04   1.302456E-04  -7.654179E-06   5.020286E-02   2.569591E-03   1.220211E-05   5.739064E-05  -1.252775E-05
   5.000   4.380629E-02   3.326880E-03  -1.839028E-04   1.272026E-04  -6.885496E-06   4.645011E-02   2.679145E-03   5.802852E-05   6.454100E-05  -1.147399E-05
   5.100   3.982087E-02   3.256218E-03  -1.483812E-04   1.230856E-04  -6.082349E-06   4.265285E-02   2.749305E-03   1.018097E-04   7.050901E-05  -1.035888E-05
   5.200   3.590383E-02   3.149060E-03  -1.152247E-04   1.180220E-04  -5.267356E-06   3.886650E-02   2.778672E-03   1.419704E-04   7.521244E-05  -9.209754E-06
   5.300   3.210685E-02   3.009960E-03  -8.492783E-05   1.121566E-04  -4.461715E-06   3.514349E-02   2.767710E-03   1.772864E-04   7.860934E-05  -8.053465E-06
   5.400   2.847476E-02   2.844187E-03  -5.785849E-05   1.056450E-04  -3.684418E-06   3.153144E-02   2.718555E-03   2.068989E-04   8.069833E-05  -6.915345E-06
   5.500   2.504457E-02   2.657453E-03  -3.425190E-05   9.864737E-05  -2.951652E-06   2.807187E-02   2.634743E-03   2.303074E-04   8.151697E-05  -5.818319E-06
   5.600   2.184491E-02   2.455639E-03  -1.421173E-05   9.132307E-05  -2.276400E-06   2.479923E-02   2.520887E-03   2.473441E-04   8.113826E-05  -4.782172E-06
   5.700   1.889595E-02   2.244539E-03   2.282177E-06   8.382520E-05  -1.668241E-06   2.174035E-02   2.382335E-03   2.581338E-04   7.966567E-05  -3.823018E-06
   5.800   1.620971E-02   2.029639E-03   1.536033E-05   7.629637E-05  -1.133342E-06   1.891433E-02   2.224822E-03   2.630448E-04   7.722697E-05  -2.952974E-06
   5.900   1.379057E-02   1.815927E-03   2.524603E-05   6.886525E-05  -6.746247E-07   1.633275E-02   2.054148E-03   2.626332E-04   7.396736E-05  -2.180069E-06
   6.000   1.163620E-02   1.607760E-03   3.223490E-05   6.164408E-05  -2.920583E-07   1.400016E-02   1.875899E-03   2.575876E-04   7.004230E-05  -1.508344E-06
   6.100   9.738501E-03   1.408769E-03   3.667332E-05   5.472705E-05   1.693237E-08   1.191487E-02   1.695216E-03   2.486743E-04   6.561054E-05  -9.381463E-07
