 Z=  68 A= 140  Er beta2= 0.40 nrho= 196
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.755961E-02  -4.189276E-16  -6.036838E-16  -5.879356E-16  -1.344660E-15   7.050063E-02  -3.723801E-16  -5.308254E-16  -8.506303E-16   9.155134E-16
   0.100   7.759297E-02  -1.406554E-05  -6.846056E-08  -6.372509E-12  -1.401880E-15   7.049973E-02  -3.874111E-05  -2.438688E-08  -2.808531E-12  -8.153791E-16
   0.200   7.769211E-02  -5.545788E-05  -1.086019E-06  -4.073490E-10   1.822873E-13   7.049736E-02  -1.529063E-04  -3.872736E-07  -1.807584E-10   2.525100E-13
   0.300   7.785414E-02  -1.218034E-04  -5.419788E-06  -4.630465E-09   4.504841E-12   7.049452E-02  -3.364268E-04  -1.936130E-06  -2.077780E-09   6.244531E-12
   0.400   7.807439E-02  -2.092743E-04  -1.678794E-05  -2.593545E-08   4.245567E-11   7.049279E-02  -5.795342E-04  -6.012069E-06  -1.181382E-08   5.956432E-11
   0.500   7.834651E-02  -3.127741E-04  -3.993423E-05  -9.849236E-08   2.341385E-10   7.049424E-02  -8.692597E-04  -1.434640E-05  -4.569501E-08   3.341243E-10
   0.600   7.866272E-02  -4.261824E-04  -8.020173E-05  -2.922887E-07   9.111947E-10   7.050122E-02  -1.190094E-03  -2.892283E-05  -1.384967E-07   1.330817E-09
   0.700   7.901403E-02  -5.426469E-04  -1.430331E-04  -7.310198E-07   2.758038E-09   7.051623E-02  -1.524772E-03  -5.181220E-05  -3.545244E-07   4.157139E-09
   0.800   7.939057E-02  -6.549082E-04  -2.334302E-04  -1.611600E-06   6.854937E-09   7.054173E-02  -1.855140E-03  -8.498812E-05  -8.011949E-07   1.079117E-08
   0.900   7.978188E-02  -7.556410E-04  -3.554099E-04  -3.223317E-06   1.439909E-08   7.057994E-02  -2.163063E-03  -1.301336E-04  -1.644334E-06   2.411267E-08
   1.000   8.017729E-02  -8.377970E-04  -5.114923E-04  -5.964029E-06   2.577457E-08   7.063268E-02  -2.431319E-03  -1.884497E-04  -3.123720E-06   4.736074E-08
   1.100   8.056630E-02  -8.949346E-04  -7.022612E-04  -1.035026E-05   3.856772E-08   7.070126E-02  -2.644439E-03  -2.604777E-04  -5.566705E-06   8.257877E-08
   1.200   8.093886E-02  -9.215233E-04  -9.260274E-04  -1.701776E-05   4.411409E-08   7.078633E-02  -2.789465E-03  -3.459472E-04  -9.397162E-06   1.275663E-07
   1.300   8.128579E-02  -9.132094E-04  -1.178628E-03  -2.670907E-05   2.224511E-08   7.088787E-02  -2.856560E-03  -4.436622E-04  -1.513660E-05   1.709067E-07
   1.400   8.159904E-02  -8.670358E-04  -1.453383E-03  -4.024521E-05  -6.590357E-08   7.100518E-02  -2.839480E-03  -5.514354E-04  -2.339432E-05   1.848011E-07
   1.500   8.187197E-02  -7.816058E-04  -1.741216E-03  -5.847951E-05  -2.868531E-07   7.113688E-02  -2.735859E-03  -6.660814E-04  -3.484377E-05   1.157168E-07
   1.600   8.209956E-02  -6.571851E-04  -2.030958E-03  -8.223303E-05  -7.449403E-07   7.128103E-02  -2.547314E-03  -7.834742E-04  -5.018324E-05  -1.267502E-07
   1.700   8.227851E-02  -4.957355E-04  -2.309815E-03  -1.122131E-04  -1.592647E-06   7.143521E-02  -2.279355E-03  -8.986761E-04  -7.008035E-05  -6.819436E-07
   1.800   8.240736E-02  -3.008763E-04  -2.563978E-03  -1.489187E-04  -3.039618E-06   7.159666E-02  -1.941116E-03  -1.006136E-03  -9.510146E-05  -1.749802E-06
   1.900   8.248642E-02  -7.776811E-05  -2.779366E-03  -1.925382E-04  -5.358525E-06   7.176243E-02  -1.544912E-03  -1.099954E-03  -1.256292E-04  -3.600328E-06
   2.000   8.251767E-02   1.670818E-04  -2.942447E-03  -2.428486E-04  -8.885709E-06   7.192952E-02  -1.105639E-03  -1.174207E-03  -1.617731E-04  -6.578773E-06
   2.100   8.250455E-02   4.260937E-04  -3.041094E-03  -2.991242E-04  -1.401457E-05   7.209496E-02  -6.400479E-04  -1.223316E-03  -2.032815E-04  -1.110435E-05
   2.200   8.245169E-02   6.909663E-04  -3.065438E-03  -3.600684E-04  -2.118003E-05   7.225593E-02  -1.659200E-04  -1.242446E-03  -2.494616E-04  -1.766044E-05
   2.300   8.236455E-02   9.530979E-04  -3.008641E-03  -4.237759E-04  -3.083289E-05   7.240979E-02   2.988293E-04  -1.227904E-03  -2.991199E-04  -2.677461E-05
   2.400   8.224897E-02   1.204066E-03  -2.867565E-03  -4.877393E-04  -4.340411E-05   7.255404E-02   7.370717E-04  -1.177524E-03  -3.505300E-04  -3.898782E-05
   2.500   8.211073E-02   1.436148E-03  -2.643259E-03  -5.489037E-04  -5.925994E-05   7.268632E-02   1.133379E-03  -1.090998E-03  -4.014389E-04  -5.481284E-05
