 Z=  73 A= 152  Ta beta2=-0.14 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.895153E-02  -4.654752E-16  -6.661338E-16  -9.757230E-16  -2.860979E-16   7.206050E-02  -3.723801E-16  -6.036838E-16  -6.129542E-16  -6.294154E-16
   0.100   8.885615E-02   4.133158E-05  -4.577362E-08   1.335608E-11  -4.506042E-15   7.202746E-02   2.820386E-05  -1.423000E-08   2.540470E-12   2.860979E-17
   0.200   8.857484E-02   1.630486E-04  -7.251168E-07   8.477122E-10  -6.798831E-13   7.193064E-02   1.112404E-04  -2.249982E-07   1.609308E-10  -6.374262E-14
   0.300   8.812167E-02   3.584371E-04  -3.610420E-06   9.522334E-09  -1.716756E-11   7.177680E-02   2.444721E-04  -1.116801E-06   1.800358E-09  -1.570735E-12
   0.400   8.751918E-02   6.166988E-04  -1.114820E-05   5.246966E-08  -1.683140E-10   7.157661E-02   4.204570E-04  -3.433609E-06   9.864226E-09  -1.520267E-11
   0.500   8.679694E-02   9.235159E-04  -2.641420E-05   1.952058E-07  -9.797321E-10   7.134385E-02   6.293591E-04  -8.091248E-06   3.643547E-08  -8.710886E-11
   0.600   8.598976E-02   1.261800E-03  -5.280139E-05   5.653332E-07  -4.092892E-09   7.109442E-02   8.594872E-04  -1.606902E-05   1.046126E-07  -3.568127E-10
   0.700   8.513561E-02   1.612585E-03  -9.366826E-05   1.375048E-06  -1.357906E-08   7.084510E-02   1.097927E-03  -2.829258E-05   2.519180E-07  -1.155883E-09
   0.800   8.427346E-02   1.956014E-03  -1.519776E-04   2.939134E-06  -3.800993E-08   7.061245E-02   1.331228E-03  -4.552076E-05   5.324659E-07  -3.145066E-09
   0.900   8.344101E-02   2.272374E-03  -2.299564E-04   5.684734E-06  -9.334134E-08   7.041168E-02   1.546107E-03  -6.824794E-05   1.017304E-06  -7.471457E-09
   1.000   8.267271E-02   2.543117E-03  -3.288051E-04   1.014995E-05  -2.065374E-07   7.025569E-02   1.730120E-03  -9.663133E-05   1.792636E-06  -1.591055E-08
   1.100   8.199799E-02   2.751820E-03  -4.484791E-04   1.696943E-05  -4.197199E-07   7.015434E-02   1.872285E-03  -1.304493E-04   2.955982E-06  -3.094562E-08
   1.200   8.143986E-02   2.885027E-03  -5.875605E-04   2.684642E-05  -7.944961E-07   7.011402E-02   1.963594E-03  -1.690931E-04   4.610646E-06  -5.573477E-08
   1.300   8.101398E-02   2.932939E-03  -7.432270E-04   4.051207E-05  -1.416019E-06   7.013741E-02   1.997427E-03  -2.115899E-04   6.859137E-06  -9.392889E-08
   1.400   8.072818E-02   2.889907E-03  -9.113232E-04   5.867421E-05  -2.396283E-06   7.022358E-02   1.969818E-03  -2.566537E-04   9.796286E-06  -1.493333E-07
   1.500   8.058248E-02   2.754715E-03  -1.086523E-03   8.195849E-05  -3.876159E-06   7.036827E-02   1.879595E-03  -3.027560E-04   1.350277E-05  -2.254518E-07
   1.600   8.056949E-02   2.530627E-03  -1.262579E-03   1.108460E-04  -6.025739E-06   7.056436E-02   1.728368E-03  -3.482080E-04   1.803957E-05  -3.250068E-07
   1.700   8.067528E-02   2.225212E-03  -1.432628E-03   1.456114E-04  -9.042653E-06   7.080248E-02   1.520403E-03  -3.912481E-04   2.344356E-05  -4.495845E-07
   1.800   8.088041E-02   1.849945E-03  -1.589552E-03   1.862656E-04  -1.314817E-05   7.107162E-02   1.262361E-03  -4.301258E-04   2.972396E-05  -5.995953E-07
   1.900   8.116137E-02   1.419615E-03  -1.726354E-03   2.325079E-04  -1.858098E-05   7.135985E-02   9.629561E-04  -4.631784E-04   3.685915E-05  -7.747498E-07
   2.000   8.149201E-02   9.515719E-04  -1.836538E-03   2.836897E-04  -2.558886E-05   7.165489E-02   6.325178E-04  -4.888985E-04   4.479294E-05  -9.752219E-07
   2.100   8.184506E-02   4.648457E-04  -1.914470E-03   3.387936E-04  -3.441817E-05   7.194472E-02   2.825100E-04  -5.059918E-04   5.342918E-05  -1.203585E-06
   2.200   8.219369E-02  -2.081560E-05  -1.955704E-03   3.964305E-04  -4.530180E-05   7.221803E-02  -7.499266E-05  -5.134281E-04   6.262413E-05  -1.467474E-06
   2.300   8.251284E-02  -4.859369E-04  -1.957253E-03   4.548546E-04  -5.844557E-05   7.246468E-02  -4.278422E-04  -5.104892E-04   7.217593E-05  -1.782750E-06
   2.400   8.278051E-02  -9.122945E-04  -1.917805E-03   5.119993E-04  -7.401377E-05   7.267595E-02  -7.643518E-04  -4.968169E-04   8.181146E-05  -2.176738E-06
   2.500   8.297880E-02  -1.283834E-03  -1.837857E-03   5.655317E-04  -9.211405E-05   7.284484E-02  -1.073810E-03  -4.724647E-04   9.117182E-05  -2.690938E-06
   2.600   8.309461E-02  -1.587486E-03  -1.719781E-03   6.129273E-04  -1.127823E-04   7.296627E-02  -1.346961E-03  -4.379541E-04   9.979824E-05  -3.382448E-06
   2.700   8.312024E-02  -1.813841E-03  -1.567804E-03   6.515622E-04  -1.359682E-04   7.303718E-02  -1.576435E-03  -3.943337E-04   1.071214E-04  -4.323315E-06
   2.800   8.305347E-02  -1.957660E-03  -1.387911E-03   6.788208E-04  -1.615215E-04   7.305664E-02  -1.757117E-03  -3.432366E-04   1.124577E-04  -5.597079E-06
   2.900   8.289753E-02  -2.018186E-03  -1.187662E-03   6.922167E-04  -1.891809E-04   7.302586E-02  -1.886440E-03  -2.869272E-04   1.150156E-04  -7.292004E-06
   3.000   8.266059E-02  -1.999253E-03  -9.759387E-04   6.895207E-04  -2.185654E-04   7.294813E-02  -1.964593E-03  -2.283281E-04   1.139161E-04  -9.490851E-06
   3.100   8.235505E-02  -1.909179E-03  -7.626150E-04   6.688926E-04  -2.491697E-04   7.282864E-02  -1.994624E-03  -1.710150E-04   1.082294E-04  -1.225750E-05
   3.200   8.199652E-02  -1.760442E-03  -5.581686E-04   6.290091E-04  -2.803644E-04   7.267417E-02  -1.982428E-03  -1.191670E-04   9.702759E-05  -1.562132E-05
   3.300   8.160253E-02  -1.569154E-03  -3.732416E-04   5.691803E-04  -3.114031E-04   7.249273E-02  -1.936613E-03  -7.746370E-05   7.945390E-05  -1.956061E-05
   3.400   8.119113E-02  -1.354339E-03  -2.181660E-04   4.894477E-04  -3.414351E-04   7.229289E-02  -1.868234E-03  -5.092367E-05   5.480359E-05  -2.398707E-05
   3.500   8.077934E-02  -1.137057E-03  -1.024759E-04   3.906539E-04  -3.695273E-04   7.208312E-02  -1.790378E-03  -4.468175E-05   2.261145E-05  -2.873343E-05
   3.600   8.038157E-02  -9.393932E-04  -3.442584E-05   2.744783E-04  -3.946927E-04   7.187092E-02  -1.717631E-03  -6.371376E-05  -1.726195E-05  -3.354628E-05
   3.700   8.000815E-02  -7.833626E-04  -2.054288E-05   1.434307E-04  -4.159276E-04   7.166193E-02  -1.665406E-03  -1.125203E-04  -6.455423E-05  -3.808627E-05
   3.800   7.966405E-02  -6.897761E-04  -6.523712E-05   7.999444E-07  -4.322541E-04   7.145894E-02  -1.649183E-03  -1.947899E-04  -1.185447E-04  -4.193696E-05
   3.900   7.934782E-02  -6.771267E-04  -1.704979E-04  -1.494462E-04  -4.427680E-04   7.126106E-02  -1.683672E-03  -3.130670E-04  -1.780260E-04  -4.462292E-05
   4.000   7.905092E-02  -7.605509E-04  -3.356981E-04  -3.028059E-04  -4.466888E-04   7.106300E-02  -1.781951E-03  -4.684529E-04  -2.413113E-04  -4.563678E-05
   4.100   7.875757E-02  -9.509260E-04  -5.575268E-04  -4.544289E-04  -4.434089E-04   7.085450E-02  -1.954628E-03  -6.603687E-04  -3.062798E-04  -4.447376E-05
   4.200   7.844495E-02  -1.254158E-03  -8.300598E-04  -5.993345E-04  -4.325380E-04   7.062022E-02  -2.209076E-03  -8.864078E-04  -3.704635E-04  -4.067122E-05
   4.300   7.808397E-02  -1.670710E-03  -1.144975E-03  -7.326486E-04  -4.139401E-04   7.033980E-02  -2.548807E-03  -1.142297E-03  -4.311685E-04  -3.384992E-05
   4.400   7.764057E-02  -2.195406E-03  -1.491901E-03  -8.498467E-04  -3.877588E-04   6.998850E-02  -2.973024E-03  -1.421983E-03  -4.856265E-04  -2.375333E-05
   4.500   7.707731E-02  -2.817533E-03  -1.858894E-03  -9.469860E-04  -3.544286E-04   6.953806E-02  -3.476403E-03  -1.717842E-03  -5.311639E-04  -1.028089E-05
   4.600   7.635539E-02  -3.521250E-03  -2.232997E-03  -1.020911E-03  -3.146702E-04   6.895809E-02  -4.049137E-03  -2.021005E-03  -5.653756E-04   6.488223E-06
   4.700   7.543683E-02  -4.286277E-03  -2.600875E-03  -1.069417E-03  -2.694690E-04   6.821754E-02  -4.677242E-03  -2.321790E-03  -5.862895E-04   2.628370E-05
   4.800   7.428675E-02  -5.088844E-03  -2.949462E-03  -1.091364E-03  -2.200368E-04   6.728659E-02  -5.343127E-03  -2.610192E-03  -5.925070E-04   4.864692E-05
   4.900   7.287546E-02  -5.902837E-03  -3.266598E-03  -1.086723E-03  -1.677593E-04   6.613841E-02  -6.026401E-03  -2.876415E-03  -5.833073E-04   7.294839E-05
   5.000   7.118051E-02  -6.701074E-03  -3.541598E-03  -1.056564E-03  -1.141328E-04   6.475099E-02  -6.704863E-03  -3.111397E-03  -5.587064E-04   9.841878E-05
   5.100   6.918816E-02  -7.456644E-03  -3.765738E-03  -1.002974E-03  -6.069235E-05   6.310869E-02  -7.355620E-03  -3.307297E-03  -5.194649E-04   1.241914E-04
   5.200   6.689453E-02  -8.144207E-03  -3.932610E-03  -9.289202E-04  -8.938767E-06   6.120356E-02  -7.956257E-03  -3.457890E-03  -4.670448E-04   1.493526E-04
   5.300   6.430618E-02  -8.741198E-03  -4.038330E-03  -8.380692E-04   3.973286E-05   5.903617E-02  -8.485975E-03  -3.558873E-03  -4.035179E-04   1.729961E-04
   5.400   6.144003E-02  -9.228846E-03  -4.081610E-03  -7.345658E-04   8.409668E-05   5.661601E-02  -8.926637E-03  -3.608028E-03  -3.314350E-04   1.942767E-04
   5.500   5.832284E-02  -9.592962E-03  -4.063666E-03  -6.228003E-04   1.231484E-04   5.396137E-02  -9.263638E-03  -3.605266E-03  -2.536665E-04   2.124590E-04
   5.600   5.499007E-02  -9.824440E-03  -3.987998E-03  -5.071731E-04   1.561426E-04   5.109876E-02  -9.486554E-03  -3.552531E-03  -1.732277E-04   2.269577E-04
   5.700   5.148434E-02  -9.919470E-03  -3.860062E-03  -3.918741E-04   1.826138E-04   4.806181E-02  -9.589531E-03  -3.453590E-03  -9.310313E-05   2.373661E-04
   5.800   4.785358E-02  -9.879450E-03  -3.686852E-03  -2.806919E-04   2.023799E-04   4.488984E-02  -9.571401E-03  -3.313731E-03  -1.608299E-05   2.434716E-04
   5.900   4.414894E-02  -9.710629E-03  -3.476436E-03  -1.768614E-04   2.155294E-04   4.162623E-02  -9.435530E-03  -3.139387E-03   5.537728E-05   2.452574E-04
   6.000   4.042267E-02  -9.423508E-03  -3.237479E-03  -8.295887E-05   2.223938E-04   3.831648E-02  -9.189419E-03  -2.937733E-03   1.192648E-04   2.428917E-04
   6.100   3.672600E-02  -9.032067E-03  -2.978779E-03  -8.445287E-07   2.235095E-04   3.500640E-02  -8.844102E-03  -2.716269E-03   1.740797E-04   2.367052E-04
   6.200   3.310730E-02  -8.552865E-03  -2.708849E-03   6.834573E-05   2.195703E-04   3.174029E-02  -8.413401E-03  -2.482434E-03   2.188669E-04   2.271605E-04
   6.300   2.961039E-02  -8.004088E-03  -2.435561E-03   1.241664E-04   2.113773E-04   2.855933E-02  -7.913080E-03  -2.243264E-03   2.532096E-04   2.148159E-04
   6.400   2.627331E-02  -7.404605E-03  -2.165880E-03   1.667923E-04   1.997874E-04   2.550024E-02  -7.359976E-03  -2.005111E-03   2.771906E-04   2.002867E-04
   6.500   2.312738E-02  -6.773084E-03  -1.905671E-03   1.969223E-04   1.856660E-04   2.259427E-02  -6.771157E-03  -1.773445E-03   2.913270E-04   1.842078E-04
   6.600   2.019667E-02  -6.127214E-03  -1.659603E-03   2.156657E-04   1.698445E-04   1.986653E-02  -6.163152E-03  -1.552727E-03   2.964866E-04   1.671989E-04
   6.700   1.749794E-02  -5.483078E-03  -1.431131E-03   2.244228E-04   1.530864E-04   1.733564E-02  -5.551305E-03  -1.346359E-03   2.937940E-04   1.498356E-04
   6.800   1.504078E-02  -4.854676E-03  -1.222537E-03   2.247667E-04   1.360622E-04   1.501380E-02  -4.949259E-03  -1.156703E-03   2.845351E-04   1.326270E-04
   6.900   1.282815E-02  -4.253628E-03  -1.035045E-03   2.183353E-04   1.193333E-04   1.290703E-02  -4.368604E-03  -9.851512E-04   2.700664E-04   1.160008E-04
   7.000   1.085712E-02  -3.689030E-03  -8.689506E-04   2.067380E-04   1.033450E-04   1.101574E-02  -3.818677E-03  -8.322387E-04   2.517343E-04   1.002950E-04
   7.100   9.119716E-03  -3.167466E-03  -7.237928E-04   1.914813E-04   8.842712E-05   9.335436E-03  -3.306500E-03  -6.977829E-04   2.308094E-04   8.575702E-05
   7.200   7.603928E-03  -2.693130E-03  -5.985232E-04   1.739139E-04   7.480097E-05   7.857569E-03  -2.836852E-03  -5.810338E-04   2.084363E-04   7.254750E-05
   7.300   6.294687E-03  -2.268063E-03  -4.916743E-04   1.551925E-04   6.259107E-05   6.570373E-03  -2.412439E-03  -4.808249E-04   1.856002E-04   6.074893E-05
   7.400   5.174835E-03  -1.892439E-03  -4.015140E-04   1.362646E-04   5.183988E-05   5.459772E-03  -2.034139E-03  -3.957143E-04   1.631097E-04   5.037697E-05
   7.500   4.226009E-03  -1.564905E-03  -3.261790E-04   1.178681E-04   4.252406E-05   4.510195E-03  -1.701291E-03  -3.241096E-04   1.415928E-04   4.139332E-05
   7.600   3.429431E-03  -1.282917E-03  -2.637845E-04   1.005425E-04   3.457071E-05   3.705323E-03  -1.412013E-03  -2.643714E-04   1.215048E-04   3.371897E-05
   7.700   2.766557E-03  -1.043081E-03  -2.125088E-04   8.464854E-05   2.787274E-05   3.028735E-03  -1.163509E-03  -2.148947E-04   1.031439E-04   2.724685E-05
   7.800   2.219600E-03  -8.414597E-04  -1.706525E-04   7.039438E-05   2.230240E-05   2.464426E-03  -9.523673E-04  -1.741678E-04   8.667246E-05   2.185322E-05
   7.900   1.771920E-03  -6.738377E-04  -1.366773E-04   5.786337E-05   1.772269E-05   1.997213E-03  -7.748182E-04  -1.408108E-04   7.214111E-05   1.740730E-05
   8.000   1.408282E-03  -5.359497E-04  -1.092244E-04   4.704238E-05   1.399626E-05   1.613024E-03  -6.269598E-04  -1.135966E-04   5.951350E-05   1.377887E-05
   8.100   1.115011E-03  -4.236538E-04  -8.711978E-05   3.784826E-05   1.099205E-05   1.299074E-03  -5.049343E-04  -9.145819E-05   4.868962E-05   1.084398E-05
   8.200   8.800443E-04  -3.330600E-04  -6.936743E-05   3.015121E-05   8.589641E-06   1.043965E-03  -4.050632E-04  -7.348488E-05   3.952684E-05   8.488808E-06
