 Z=  76 A= 158  Os beta2= 0.00 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   9.840418E-02  -5.275385E-16  -7.494005E-16  -1.050779E-15  -5.721958E-17   7.084587E-02  -3.723801E-16  -5.412337E-16  -7.630654E-16   7.152448E-16
   0.100   9.824155E-02   3.331251E-14  -1.665335E-16  -6.504820E-16  -1.945466E-15   7.081285E-02   5.244353E-15  -1.582068E-15  -4.128059E-16  -7.152448E-16
   0.200   9.776067E-02   1.325208E-13   5.620504E-16  -1.138344E-15  -4.291469E-16   7.071637E-02   2.055849E-14   7.910339E-16  -1.551149E-15  -3.147077E-16
   0.300   9.698217E-02   2.883153E-13   3.871903E-15  -3.752781E-16  -1.773807E-15   7.056391E-02   4.316506E-14   2.831069E-15  -5.128800E-16  -6.008056E-16
   0.400   9.593920E-02   4.885317E-13   1.307288E-14   2.501854E-17  -3.204297E-15   7.036733E-02   6.854897E-14   1.084549E-14  -3.252410E-16  -8.439889E-16
   0.500   9.467560E-02   7.148923E-13   3.047562E-14  -3.002224E-16  -1.616453E-15   7.014199E-02   9.231924E-14   2.437633E-14  -2.626946E-16   2.860979E-16
   0.600   9.324358E-02   9.460782E-13   6.274148E-14  -1.651223E-15  -8.296840E-16   6.990559E-02   1.018615E-13   5.366541E-14  -1.888900E-15  -2.775150E-15
   0.700   9.170098E-02   1.166357E-12   1.067271E-13   2.376761E-16  -1.816722E-15   6.967689E-02   9.903760E-14   9.053175E-14   1.751298E-16  -1.473404E-15
   0.800   9.010823E-02   1.355805E-12   1.693437E-13   2.626946E-16  -8.869036E-16   6.947447E-02   7.438293E-14   1.457688E-13   1.250927E-16  -1.630758E-15
   0.900   8.852536E-02   1.498333E-12   2.475936E-13  -1.025760E-15   1.859637E-16   6.931542E-02   2.550804E-14   2.153382E-13  -3.127317E-15  -1.788112E-15
   1.000   8.700906E-02   1.579295E-12   3.406858E-13  -1.776316E-15   3.290126E-16   6.921426E-02  -5.456920E-14   3.010925E-13  -6.292162E-15  -1.859637E-16
   1.100   8.561005E-02   1.592654E-12   4.467052E-13   1.063288E-15  -1.730892E-15   6.918212E-02  -1.646696E-13   4.030318E-13  -5.241384E-15  -3.519005E-15
   1.200   8.437085E-02   1.538799E-12   5.539527E-13   1.626205E-16  -3.433175E-15   6.922614E-02  -2.980282E-13   5.090824E-13  -1.085805E-14  -3.976761E-15
   1.300   8.332406E-02   1.419327E-12   6.625637E-13  -1.601186E-15  -1.316051E-15   6.934917E-02  -4.552657E-13   6.221378E-13  -1.713770E-14  -3.890932E-15
   1.400   8.249131E-02   1.239638E-12   7.588513E-13   2.026502E-15  -2.460442E-15   6.954980E-02  -6.319601E-13   7.303221E-13  -1.556153E-14  -1.258831E-14
   1.500   8.188268E-02   1.019949E-12   8.378506E-13   1.913918E-15  -2.789455E-15   6.982259E-02  -8.079718E-13   8.282645E-13  -2.204133E-14  -1.499153E-14
   1.600   8.149693E-02   7.669324E-13   8.897882E-13   7.580617E-15  -4.062591E-15   7.015857E-02  -9.867763E-13   9.056714E-13  -1.905162E-14  -2.235855E-14
   1.700   8.132206E-02   5.090436E-13   9.086898E-13   1.053280E-14  -6.065276E-15   7.054586E-02  -1.140352E-12   9.559228E-13  -2.069033E-14  -2.918199E-14
   1.800   8.133662E-02   2.648554E-13   8.762782E-13   2.520618E-14  -4.663396E-15   7.097036E-02  -1.256317E-12   9.500317E-13  -1.338492E-15  -4.282886E-14
   1.900   8.151128E-02   2.513566E-14   8.316577E-13   2.134081E-14  -2.431832E-16   7.141658E-02  -1.360398E-12   9.421422E-13  -6.217107E-15  -5.079669E-14
   2.000   8.181075E-02  -1.653988E-13   7.259401E-13   4.309443E-14  -6.894960E-15   7.186834E-02  -1.399513E-12   8.599059E-13   2.586917E-14  -7.163892E-14
   2.100   8.219596E-02  -3.076480E-13   5.931297E-13   5.597898E-14  -9.369707E-15   7.230952E-02  -1.384339E-12   7.428016E-13   5.180088E-14  -9.288169E-14
   2.200   8.262624E-02  -3.930627E-13   4.308012E-13   6.563613E-14   1.316051E-15   7.272473E-02  -1.305301E-12   5.807230E-13   7.782016E-14  -9.997692E-14
   2.300   8.306160E-02  -4.518057E-13   2.753006E-13   6.190837E-14   8.711682E-15   7.309988E-02  -1.207939E-12   4.151887E-13   9.288132E-14  -1.134092E-13
   2.400   8.346481E-02  -4.121007E-13   5.993123E-14   9.748473E-14   6.236935E-15   7.342273E-02  -9.939601E-13   1.508377E-13   1.664483E-13  -1.397445E-13
   2.500   8.380324E-02  -3.492305E-13  -1.194877E-13   1.066790E-13   1.625036E-14   7.368330E-02  -7.607105E-13  -8.991766E-14   2.112815E-13  -1.563954E-13
   2.600   8.405047E-02  -2.430091E-13  -3.035488E-13   1.222406E-13   3.707829E-14   7.387427E-02  -4.796256E-13  -3.673728E-13   2.710759E-13  -1.550079E-13
   2.700   8.418746E-02  -1.731723E-13  -3.949133E-13   8.730219E-14   7.030857E-14   7.399125E-02  -2.540408E-13  -5.475204E-13   2.666476E-13  -1.387718E-13
   2.800   8.420331E-02  -2.451503E-15  -5.397974E-13   1.204267E-13   6.781951E-14   7.403300E-02   1.041268E-13  -8.277545E-13   3.568144E-13  -1.619314E-13
   2.900   8.409553E-02   8.510437E-14  -5.679832E-13   8.857813E-14   8.384100E-14   7.400153E-02   3.481444E-13  -9.767291E-13   3.617430E-13  -1.575970E-13
   3.000   8.386979E-02   2.197663E-13  -5.941914E-13   6.667440E-14   1.195460E-13   7.390208E-02   6.590197E-13  -1.141337E-12   3.788557E-13  -1.213484E-13
