 Z=  26 A=  42  Fe beta2= 0.35 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.298675E-02   9.067973E-02
   0.100   7.294499E-02   9.057969E-02
   0.200   7.287923E-02   9.042258E-02
   0.300   7.276579E-02   9.014982E-02
   0.400   7.262055E-02   8.979446E-02
   0.500   7.244541E-02   8.935826E-02
   0.600   7.225168E-02   8.886013E-02
   0.700   7.204995E-02   8.833129E-02
   0.800   7.184773E-02   8.778827E-02
   0.900   7.165188E-02   8.725429E-02
   1.000   7.146954E-02   8.675281E-02
   1.100   7.129884E-02   8.629555E-02
   1.200   7.114254E-02   8.590725E-02
   1.300   7.099335E-02   8.559177E-02
   1.400   7.084501E-02   8.534914E-02
   1.500   7.068194E-02   8.518559E-02
   1.600   7.049326E-02   8.507234E-02
   1.700   7.025167E-02   8.500363E-02
   1.800   6.995176E-02   8.494865E-02
   1.900   6.955009E-02   8.487793E-02
   2.000   6.904641E-02   8.476434E-02
   2.100   6.837329E-02   8.454708E-02
   2.200   6.751107E-02   8.417790E-02
   2.300   6.657840E-02   8.374558E-02
   2.400   6.534676E-02   8.303491E-02
   2.500   6.395676E-02   8.215472E-02
   2.600   6.227814E-02   8.096067E-02
   2.700   6.033521E-02   7.945914E-02
   2.800   5.832819E-02   7.785217E-02
   2.900   5.595264E-02   7.580067E-02
   3.000   5.343928E-02   7.354322E-02
   3.100   5.064328E-02   7.090888E-02
   3.200   4.763328E-02   6.796169E-02
   3.300   4.466116E-02   6.497463E-02
   3.400   4.140453E-02   6.157469E-02
   3.500   3.814674E-02   5.807189E-02
   3.600   3.476222E-02   5.431339E-02
   3.700   3.135293E-02   5.040629E-02
   3.800   2.815665E-02   4.662963E-02
   3.900   2.491406E-02   4.266613E-02
   4.000   2.187220E-02   3.881566E-02
   4.100   1.894677E-02   3.497337E-02
   4.200   1.622003E-02   3.124988E-02
   4.300   1.381796E-02   2.782667E-02
   4.400   1.158817E-02   2.451056E-02
   4.500   9.642779E-03   2.147647E-02
   4.600   7.924737E-03   1.866378E-02
   4.700   6.448733E-03   1.611813E-02
   4.800   5.226360E-03   1.388407E-02
   4.900   4.186371E-03   1.187787E-02
   5.000   3.335887E-03   1.013204E-02
   5.100   2.638215E-03   8.610409E-03
   5.200   2.075764E-03   7.302117E-03
   5.300   1.629811E-03   6.187502E-03
   5.400   1.272995E-03   5.236379E-03
   5.500   9.922935E-04   4.430972E-03
   5.600   7.714445E-04   3.751217E-03
   5.700   5.987392E-04   3.179059E-03
   5.800   4.643802E-04   2.695374E-03
   5.900   3.595806E-04   2.289883E-03
   6.000   2.782226E-04   1.947806E-03
   6.100   2.151068E-04   1.660667E-03
   6.200   1.662465E-04   1.419146E-03
   6.300   1.284663E-04   1.213929E-03
   6.400   9.928242E-05   1.042007E-03
   6.500   7.674435E-05   8.960985E-04
   6.600   5.937742E-05   7.732628E-04
   6.700   4.598874E-05   6.693222E-04
   6.800   3.563454E-05   5.800943E-04
   6.900   2.765246E-05   5.048839E-04
   7.000   2.147081E-05   4.403308E-04
   7.100   1.668647E-05   3.853637E-04
   7.200   1.297142E-05   3.381990E-04
   7.300   1.008440E-05   2.971487E-04
   7.400   7.838840E-06   2.620116E-04
   7.500   6.091724E-06   2.314299E-04
   7.600   4.733814E-06   2.050257E-04
   7.700   3.680050E-06   1.821214E-04
   7.800   2.861397E-06   1.619565E-04
   7.900   2.228374E-06   1.445738E-04
   8.000   1.737542E-06   1.293058E-04
   8.100   1.358348E-06   1.160462E-04
   8.200   1.064406E-06   1.044400E-04
   8.300   8.348683E-07   9.410334E-05
   8.400   6.563726E-07   8.507097E-05
   8.500   5.162454E-07   7.700499E-05
   8.600   4.059978E-07   6.983198E-05
   8.700   3.187838E-07   6.337694E-05
   8.800   2.501318E-07   5.753608E-05
   8.900   1.956210E-07   5.224043E-05
   9.000   1.530412E-07   4.735964E-05
   9.100   1.197451E-07   4.290930E-05
   9.200   9.369305E-08   3.887716E-05
   9.300   7.330894E-08   3.522391E-05
   9.400   5.735965E-08   3.191396E-05
   9.500   4.488034E-08   2.891504E-05
   9.600   3.511605E-08   2.619792E-05
   9.700   2.795069E-08   2.369862E-05
   9.800   2.224932E-08   2.143759E-05
   9.900   1.771092E-08   1.939227E-05
  10.000   1.409825E-08   1.754210E-05
  10.100   1.122250E-08   1.586844E-05
  10.200   8.933339E-09   1.435447E-05
  10.300   7.111121E-09   1.298494E-05
  10.400   5.660598E-09   1.174607E-05
  10.500   4.437187E-09   1.056358E-05
  10.600   3.456091E-09   9.477188E-06
  10.700   2.691923E-09   8.502522E-06
  10.800   2.096718E-09   7.628094E-06
  10.900   1.633118E-09   6.843595E-06
  11.000   1.272023E-09   6.139776E-06
  11.100   9.907691E-10   5.508341E-06
  11.200   7.717025E-10   4.941845E-06
  11.300   6.116029E-10   4.419082E-06
  11.400   5.036405E-10   3.923124E-06
  11.500   4.147360E-10   3.482828E-06
  11.600   3.415252E-10   3.091946E-06
  11.700   2.812379E-10   2.744934E-06
  11.800   2.315927E-10   2.436867E-06
  11.900   1.907111E-10   2.163375E-06
  12.000   1.570461E-10   1.920577E-06
  12.100   1.293237E-10   1.705029E-06
  12.200   9.458373E-11   1.521601E-06
  12.300   6.725337E-11   1.359593E-06
  12.400   4.782023E-11   1.214834E-06
  12.500   3.400238E-11   1.085489E-06
  12.600   2.417725E-11   9.699145E-07
  12.700   1.719113E-11   8.666458E-07
  12.800   1.222368E-11   7.743723E-07
  12.900   8.691599E-12   6.919233E-07
  13.000   6.555774E-12   6.232044E-07
  13.100   6.740442E-12   5.853165E-07
  13.200   6.930313E-12   5.497321E-07
  13.300   7.125532E-12   5.163111E-07
  13.400   7.326250E-12   4.849218E-07
  13.500   7.532622E-12   4.554409E-07
  13.600   7.744807E-12   4.277523E-07
  13.700   7.962969E-12   4.017470E-07
  13.800   8.187277E-12   3.773228E-07
  13.900   8.046431E-12   3.601402E-07
  14.000   7.175235E-12   3.558842E-07
  14.100   6.398364E-12   3.516784E-07
  14.200   5.705606E-12   3.475223E-07
  14.300   5.087853E-12   3.434154E-07
  14.400   4.536986E-12   3.393570E-07
  14.500   4.045761E-12   3.353465E-07
  14.600   3.607722E-12   3.313834E-07
  14.700   3.217110E-12   3.274672E-07
  14.800   3.057180E-12   3.204057E-07
  14.900   3.685238E-12   3.020899E-07
  15.000   4.442321E-12   2.848211E-07
  15.100   5.354937E-12   2.685394E-07
  15.200   6.455038E-12   2.531885E-07
  15.300   7.781140E-12   2.387151E-07
  15.400   9.379672E-12   2.250691E-07
  15.500   1.130660E-11   2.122031E-07
  15.600   1.362939E-11   2.000727E-07
  15.700   1.642937E-11   1.886356E-07
  15.800   1.710043E-11   1.613089E-07
  15.900   1.694886E-11   1.335239E-07
  16.000   1.679863E-11   1.105248E-07
  16.100   1.664973E-11   9.148722E-08
  16.200   1.650215E-11   7.572881E-08
  16.300   1.635588E-11   6.268475E-08
  16.400   1.621090E-11   5.188748E-08
  16.500   1.606721E-11   4.295002E-08
