 Z=  28 A=  46  Ni beta2=-0.26 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.533693E-02   8.672924E-02
   0.100   7.524464E-02   8.661868E-02
   0.200   7.510692E-02   8.645489E-02
   0.300   7.486625E-02   8.617012E-02
   0.400   7.455806E-02   8.580420E-02
   0.500   7.417430E-02   8.535057E-02
   0.600   7.374861E-02   8.485014E-02
   0.700   7.328551E-02   8.431363E-02
   0.800   7.281311E-02   8.377524E-02
   0.900   7.234685E-02   8.326327E-02
   1.000   7.190642E-02   8.280795E-02
   1.100   7.150115E-02   8.242419E-02
   1.200   7.115239E-02   8.215571E-02
   1.300   7.085200E-02   8.198663E-02
   1.400   7.061505E-02   8.195491E-02
   1.500   7.042148E-02   8.202568E-02
   1.600   7.027171E-02   8.221999E-02
   1.700   7.014004E-02   8.249142E-02
   1.800   7.000751E-02   8.283233E-02
   1.900   6.985137E-02   8.319791E-02
   2.000   6.963013E-02   8.355210E-02
   2.100   6.933427E-02   8.386222E-02
   2.200   6.888607E-02   8.404993E-02
   2.300   6.828055E-02   8.408937E-02
   2.400   6.755000E-02   8.400467E-02
   2.500   6.656498E-02   8.365110E-02
   2.600   6.540647E-02   8.310023E-02
   2.700   6.392490E-02   8.218135E-02
   2.800   6.219790E-02   8.096488E-02
   2.900   6.030000E-02   7.952301E-02
   3.000   5.807795E-02   7.767626E-02
   3.100   5.568062E-02   7.558044E-02
   3.200   5.294655E-02   7.304057E-02
   3.300   5.001490E-02   7.020470E-02
   3.400   4.699590E-02   6.718785E-02
   3.500   4.374364E-02   6.381386E-02
   3.600   4.044960E-02   6.029239E-02
   3.700   3.697560E-02   5.644991E-02
   3.800   3.349487E-02   5.248015E-02
   3.900   3.012309E-02   4.851591E-02
   4.000   2.675606E-02   4.442434E-02
   4.100   2.356548E-02   4.041549E-02
   4.200   2.046200E-02   3.637475E-02
   4.300   1.758113E-02   3.248089E-02
   4.400   1.498097E-02   2.882428E-02
   4.500   1.259734E-02   2.533094E-02
   4.600   1.050106E-02   2.212046E-02
   4.700   8.636086E-03   1.913105E-02
   4.800   7.038279E-03   1.644195E-02
   4.900   5.695876E-03   1.406247E-02
   5.000   4.563817E-03   1.194785E-02
   5.100   3.634587E-03   1.011162E-02
   5.200   2.870389E-03   8.514412E-03
   5.300   2.255984E-03   7.150917E-03
   5.400   1.766674E-03   5.994356E-03
   5.500   1.377637E-03   5.015968E-03
   5.600   1.071645E-03   4.193843E-03
   5.700   8.312117E-04   3.505028E-03
   5.800   6.437817E-04   2.930148E-03
   5.900   4.980731E-04   2.450236E-03
   6.000   3.848514E-04   2.050787E-03
   6.100   2.971225E-04   1.717623E-03
   6.200   2.291903E-04   1.440824E-03
   6.300   1.767232E-04   1.210231E-03
   6.400   1.362284E-04   1.017606E-03
   6.500   1.050116E-04   8.573680E-04
   6.600   8.096064E-05   7.233612E-04
   6.700   6.247380E-05   6.118832E-04
   6.800   4.825552E-05   5.186338E-04
   6.900   3.730269E-05   4.402967E-04
   7.000   2.887790E-05   3.747696E-04
   7.100   2.237458E-05   3.195160E-04
   7.200   1.735669E-05   2.731395E-04
   7.300   1.346957E-05   2.339191E-04
   7.400   1.045536E-05   2.006099E-04
