 Z=  30 A=  50  Zn beta2=-0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.517131E-02   9.043344E-02
   0.100   8.498393E-02   9.036149E-02
   0.200   8.472017E-02   9.026041E-02
   0.300   8.425366E-02   9.008182E-02
   0.400   8.365064E-02   8.985030E-02
   0.500   8.288122E-02   8.955566E-02
   0.600   8.201209E-02   8.922319E-02
   0.700   8.103541E-02   8.885103E-02
   0.800   8.000773E-02   8.846064E-02
   0.900   7.894201E-02   8.805879E-02
   1.000   7.788017E-02   8.766045E-02
   1.100   7.685128E-02   8.727986E-02
   1.200   7.587205E-02   8.692137E-02
   1.300   7.498312E-02   8.660136E-02
   1.400   7.417569E-02   8.631403E-02
   1.500   7.348508E-02   8.607307E-02
   1.600   7.288232E-02   8.586418E-02
   1.700   7.238783E-02   8.569070E-02
   1.800   7.195923E-02   8.553426E-02
   1.900   7.159219E-02   8.538473E-02
   2.000   7.124634E-02   8.522421E-02
   2.100   7.088743E-02   8.502246E-02
   2.200   7.048890E-02   8.477129E-02
   2.300   6.998119E-02   8.441122E-02
   2.400   6.935424E-02   8.394194E-02
   2.500   6.857955E-02   8.333960E-02
   2.600   6.760986E-02   8.256363E-02
   2.700   6.646138E-02   8.162449E-02
   2.800   6.499632E-02   8.039443E-02
   2.900   6.331126E-02   7.895240E-02
   3.000   6.138387E-02   7.727077E-02
   3.100   5.920069E-02   7.532577E-02
   3.200   5.681597E-02   7.315976E-02
   3.300   5.408789E-02   7.062338E-02
   3.400   5.118573E-02   6.786799E-02
   3.500   4.810880E-02   6.488050E-02
   3.600   4.487521E-02   6.166787E-02
   3.700   4.156784E-02   5.830423E-02
   3.800   3.807260E-02   5.465414E-02
   3.900   3.459086E-02   5.092051E-02
   4.000   3.113871E-02   4.711233E-02
   4.100   2.775609E-02   4.326822E-02
   4.200   2.452082E-02   3.947354E-02
   4.300   2.136455E-02   3.564543E-02
   4.400   1.844042E-02   3.196909E-02
   4.500   1.575007E-02   2.845425E-02
   4.600   1.331193E-02   2.513917E-02
   4.700   1.114759E-02   2.206679E-02
   4.800   9.211968E-03   1.919728E-02
   4.900   7.549916E-03   1.661226E-02
   5.000   6.132802E-03   1.429355E-02
   5.100   4.942382E-03   1.224157E-02
   5.200   3.956401E-03   1.044432E-02
   5.300   3.140346E-03   8.873047E-03
   5.400   2.481178E-03   7.524058E-03
   5.500   1.951139E-03   6.369146E-03
   5.600   1.528866E-03   5.387977E-03
   5.700   1.194559E-03   4.556464E-03
   5.800   9.304298E-04   3.855565E-03
   5.900   7.235919E-04   3.265626E-03
   6.000   5.618833E-04   2.769382E-03
   6.100   4.358156E-04   2.352448E-03
   6.200   3.377008E-04   2.001408E-03
   6.300   2.613877E-04   1.707437E-03
   6.400   2.022207E-04   1.459647E-03
   6.500   1.563657E-04   1.250752E-03
   6.600   1.208905E-04   1.074481E-03
   6.700   9.345782E-05   9.251835E-04
   6.800   7.228290E-05   7.995994E-04
   6.900   5.594275E-05   6.928607E-04
   7.000   4.333171E-05   6.021094E-04
   7.100   3.359632E-05   5.247757E-04
   7.200   2.606966E-05   4.585440E-04
   7.300   2.025239E-05   4.021738E-04
   7.400   1.574112E-05   3.535847E-04
   7.500   1.223918E-05   3.116772E-04
   7.600   9.515257E-06   2.754175E-04
   7.700   7.395841E-06   2.438948E-04
   7.800   5.745520E-06   2.166600E-04
   7.900   4.462551E-06   1.928805E-04
   8.000   3.465435E-06   1.721182E-04
   8.100   2.692276E-06   1.539702E-04
   8.200   2.092838E-06   1.380391E-04
   8.300   1.630018E-06   1.241739E-04
   8.400   1.271864E-06   1.119476E-04
