 Z=  33 A=  56  As beta2= 0.26 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.448411E-02   9.077419E-02
   0.100   8.429015E-02   9.082664E-02
   0.200   8.403907E-02   9.089379E-02
   0.300   8.358974E-02   9.100945E-02
   0.400   8.301410E-02   9.115262E-02
   0.500   8.227882E-02   9.132246E-02
   0.600   8.145199E-02   9.150232E-02
   0.700   8.052602E-02   9.167917E-02
   0.800   7.955166E-02   9.184126E-02
   0.900   7.856151E-02   9.197853E-02
   1.000   7.758591E-02   9.206913E-02
   1.100   7.665294E-02   9.211858E-02
   1.200   7.580374E-02   9.210075E-02
   1.300   7.503427E-02   9.202924E-02
   1.400   7.439355E-02   9.187462E-02
   1.500   7.385155E-02   9.165867E-02
   1.600   7.344966E-02   9.135094E-02
   1.700   7.313995E-02   9.097862E-02
   1.800   7.294255E-02   9.051171E-02
   1.900   7.280635E-02   8.997960E-02
   2.000   7.272128E-02   8.935257E-02
   2.100   7.264704E-02   8.866065E-02
   2.200   7.253800E-02   8.787581E-02
   2.300   7.235881E-02   8.700620E-02
   2.400   7.207770E-02   8.605735E-02
   2.500   7.162380E-02   8.499446E-02
   2.600   7.095212E-02   8.380497E-02
   2.700   7.019523E-02   8.257462E-02
   2.800   6.909652E-02   8.114810E-02
   2.900   6.780249E-02   7.961220E-02
   3.000   6.617794E-02   7.787418E-02
   3.100   6.424177E-02   7.593124E-02
   3.200   6.222215E-02   7.393840E-02
   3.300   5.979120E-02   7.164456E-02
   3.400   5.719157E-02   6.921365E-02
   3.500   5.428594E-02   6.652326E-02
   3.600   5.113753E-02   6.360231E-02
   3.700   4.802080E-02   6.067747E-02
   3.800   4.460453E-02   5.744072E-02
   3.900   4.117322E-02   5.413232E-02
   4.000   3.761196E-02   5.063202E-02
   4.100   3.401517E-02   4.701259E-02
   4.200   3.063553E-02   4.352081E-02
   4.300   2.720845E-02   3.988233E-02
   4.400   2.397709E-02   3.634518E-02
   4.500   2.086723E-02   3.282848E-02
   4.600   1.795487E-02   2.941686E-02
   4.700   1.537732E-02   2.627470E-02
   4.800   1.297537E-02   2.323509E-02
   4.900   1.086457E-02   2.044356E-02
   5.000   8.990887E-03   1.785519E-02
   5.100   7.368246E-03   1.550562E-02
   5.200   6.014822E-03   1.343453E-02
   5.300   4.854730E-03   1.156929E-02
   5.400   3.897743E-03   9.938281E-03
   5.500   3.106404E-03   8.511067E-03
   5.600   2.462697E-03   7.277481E-03
   5.700   1.948299E-03   6.219078E-03
   5.800   1.533332E-03   5.311722E-03
   5.900   1.204169E-03   4.537851E-03
   6.000   9.431662E-04   3.880856E-03
   6.100   7.374513E-04   3.324137E-03
   6.200   5.762089E-04   2.849149E-03
   6.300   4.494765E-04   2.448542E-03
   6.400   3.503459E-04   2.107474E-03
   6.500   2.728504E-04   1.818910E-03
   6.600   2.123715E-04   1.573934E-03
   6.700   1.652617E-04   1.363402E-03
   6.800   1.285751E-04   1.185255E-03
   6.900   1.000337E-04   1.032399E-03
   7.000   7.787737E-05   9.022250E-04
   7.100   6.068324E-05   7.907960E-04
   7.200   4.730338E-05   6.939648E-04
   7.300   3.693053E-05   6.113569E-04
   7.400   2.885458E-05   5.396520E-04
   7.500   2.257374E-05   4.778959E-04
   7.600   1.767311E-05   4.243503E-04
   7.700   1.384021E-05   3.772172E-04
   7.800   1.084175E-05   3.364551E-04
   7.900   8.491217E-06   3.005911E-04
   8.000   6.648961E-06   2.692850E-04
   8.100   5.205598E-06   2.418163E-04
   8.200   4.075409E-06   2.173613E-04
   8.300   3.192179E-06   1.959912E-04
   8.400   2.502118E-06   1.770226E-04
   8.500   1.964989E-06   1.603327E-04
   8.600   1.546878E-06   1.455622E-04
   8.700   1.218946E-06   1.322798E-04
   8.800   9.639628E-07   1.205604E-04
   8.900   7.634860E-07   1.100146E-04
   9.000   6.059545E-07   1.005813E-04
   9.100   4.810748E-07   9.205243E-05
   9.200   3.819507E-07   8.428000E-05
   9.300   3.027499E-07   7.720584E-05
   9.400   2.389009E-07   7.062037E-05
   9.500   1.882090E-07   6.456148E-05
   9.600   1.482734E-07   5.902240E-05
   9.700   1.168115E-07   5.395856E-05
   9.800   9.202555E-08   4.932917E-05
   9.900   7.249884E-08   4.509696E-05
  10.000   5.711546E-08   4.122785E-05
  10.100   4.575670E-08   3.773300E-05
  10.200   3.693005E-08   3.455158E-05
  10.300   2.980610E-08   3.163840E-05
  10.400   2.405639E-08   2.897084E-05
  10.500   1.941582E-08   2.652819E-05
  10.600   1.567043E-08   2.429149E-05
  10.700   1.264755E-08   2.224338E-05
  10.800   1.020779E-08   2.036795E-05
  10.900   8.238665E-09   1.865064E-05
  11.000   6.443179E-09   1.714723E-05
  11.100   5.038832E-09   1.576507E-05
  11.200   3.940575E-09   1.449431E-05
  11.300   3.081692E-09   1.332599E-05
  11.400   2.410010E-09   1.225184E-05
  11.500   1.884727E-09   1.126428E-05
  11.600   1.473935E-09   1.035631E-05
  11.700   1.152678E-09   9.521538E-06
  11.800   9.158197E-10   8.751770E-06
  11.900   7.780742E-10   8.035368E-06
  12.000   6.610465E-10   7.377610E-06
  12.100   5.616205E-10   6.773694E-06
  12.200   4.771490E-10   6.219213E-06
  12.300   4.053825E-10   5.710121E-06
  12.400   3.444102E-10   5.242702E-06
  12.500   2.926085E-10   4.813546E-06
  12.600   2.485982E-10   4.419519E-06
  12.700   2.018711E-10   4.060376E-06
  12.800   1.450652E-10   3.736958E-06
  12.900   1.042443E-10   3.439301E-06
  13.000   7.491029E-11   3.165353E-06
  13.100   5.383077E-11   2.913226E-06
  13.200   3.868296E-11   2.681181E-06
  13.300   2.779770E-11   2.467619E-06
  13.400   1.997551E-11   2.271068E-06
  13.500   1.435447E-11   2.090173E-06
  13.600   1.111069E-11   1.920779E-06
  13.700   1.164153E-11   1.754269E-06
  13.800   1.219773E-11   1.602193E-06
  13.900   1.278051E-11   1.463300E-06
  14.000   1.339113E-11   1.336448E-06
  14.100   1.403093E-11   1.220592E-06
  14.200   1.470129E-11   1.114780E-06
  14.300   1.540368E-11   1.018141E-06
  14.400   1.613963E-11   9.298790E-07
  14.500   1.691074E-11   8.492686E-07
  14.600   1.469838E-11   7.824613E-07
  14.700   1.256953E-11   7.214580E-07
  14.800   1.074900E-11   6.652107E-07
  14.900   9.192159E-12   6.133486E-07
  15.000   7.860802E-12   5.655299E-07
  15.100   6.722273E-12   5.214393E-07
  15.200   5.748645E-12   4.807861E-07
  15.300   4.916033E-12   4.433024E-07
  15.400   4.204013E-12   4.087410E-07
  15.500   4.010806E-12   3.712359E-07
  15.600   4.621240E-12   3.285191E-07
  15.700   5.324581E-12   2.907175E-07
  15.800   6.134968E-12   2.572656E-07
  15.900   7.068695E-12   2.276629E-07
  16.000   8.144531E-12   2.014665E-07
  16.100   9.384108E-12   1.782844E-07
  16.200   1.081234E-11   1.577699E-07
  16.300   1.245795E-11   1.396158E-07
  16.400   1.435402E-11   1.235507E-07
  16.500   1.584729E-11   1.048641E-07
  16.600   1.657406E-11   8.441675E-08
  16.700   1.733415E-11   6.795642E-08
  16.800   1.812911E-11   5.470567E-08
  16.900   1.896052E-11   4.403867E-08
  17.000   1.983006E-11   3.545161E-08
  17.100   2.073947E-11   2.853894E-08
  17.200   2.169060E-11   2.297416E-08
  17.300   2.268534E-11   1.849445E-08
  17.400   2.372570E-11   1.488824E-08
  17.500   2.481377E-11   1.198520E-08
  17.600   1.993737E-11   8.654888E-09
  17.700   1.601082E-11   6.248605E-09
  17.800   1.285758E-11   4.511332E-09
  17.900   1.032535E-11   3.257065E-09
  18.000   8.291834E-12   2.351517E-09
  18.100   6.658804E-12   1.697734E-09
  18.200   5.347390E-12   1.225720E-09
  18.300   4.294252E-12   8.849385E-10
  18.400   3.448524E-12   6.389028E-10
  18.500   2.769356E-12   4.612713E-10
  18.600   2.223947E-12   3.330260E-10
  18.700   1.557480E-12   2.195502E-10
  18.800   1.054043E-12   1.414891E-10
  18.900   7.133360E-13   9.118265E-11
  19.000   4.827587E-13   5.876266E-11
  19.100   3.267127E-13   3.786960E-11
  19.200   2.211067E-13   2.440506E-11
  19.300   1.496366E-13   1.572784E-11
  19.400   1.012683E-13   1.013581E-11
  19.500   6.853455E-14   6.532020E-12
  19.600   4.638157E-14   4.209560E-12
  19.700   3.138928E-14   2.712851E-12
  19.800   2.124307E-14   1.748297E-12
  19.900   1.356423E-14   1.074362E-12
 Z=  33 A=  57  As beta2= 0.24 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.340278E-02   8.832393E-02
   0.100   8.321818E-02   8.837420E-02
   0.200   8.298259E-02   8.843794E-02
   0.300   8.255963E-02   8.854960E-02
   0.400   8.201799E-02   8.868967E-02
   0.500   8.132683E-02   8.885986E-02
   0.600   8.054448E-02   8.904344E-02
   0.700   7.968050E-02   8.923051E-02
   0.800   7.876648E-02   8.940845E-02
   0.900   7.784573E-02   8.956748E-02
   1.000   7.694585E-02   8.968987E-02
   1.100   7.608942E-02   8.977836E-02
   1.200   7.532122E-02   8.980826E-02
   1.300   7.463482E-02   8.979212E-02
   1.400   7.408157E-02   8.970306E-02
   1.500   7.362851E-02   8.956084E-02
   1.600   7.332040E-02   8.933974E-02
   1.700   7.310743E-02   8.906356E-02
   1.800   7.301386E-02   8.870595E-02
   1.900   7.299071E-02   8.828786E-02
   2.000   7.301637E-02   8.779987E-02
   2.100   7.305707E-02   8.723200E-02
   2.200   7.307277E-02   8.660482E-02
   2.300   7.301037E-02   8.588657E-02
   2.400   7.286482E-02   8.510464E-02
   2.500   7.253788E-02   8.420401E-02
   2.600   7.202829E-02   8.319817E-02
   2.700   7.136261E-02   8.210648E-02
   2.800   7.041528E-02   8.085238E-02
   2.900   6.926716E-02   7.948416E-02
   3.000   6.775950E-02   7.789244E-02
   3.100   6.598882E-02   7.612622E-02
   3.200   6.401833E-02   7.422537E-02
   3.300   6.171615E-02   7.207622E-02
   3.400   5.922366E-02   6.977521E-02
   3.500   5.638001E-02   6.717528E-02
   3.600   5.333810E-02   6.438272E-02
   3.700   5.019107E-02   6.146864E-02
   3.800   4.682041E-02   5.831174E-02
   3.900   4.340162E-02   5.505798E-02
   4.000   3.979807E-02   5.156444E-02
   4.100   3.618939E-02   4.798980E-02
   4.200   3.267412E-02   4.442427E-02
   4.300   2.917086E-02   4.077791E-02
   4.400   2.583470E-02   3.720801E-02
   4.500   2.257862E-02   3.361939E-02
   4.600   1.954266E-02   3.016360E-02
   4.700   1.677724E-02   2.690353E-02
   4.800   1.423032E-02   2.379339E-02
   4.900   1.197043E-02   2.092212E-02
   5.000   9.942235E-03   1.824139E-02
