 Z=  42 A=  74  Mo beta2= 0.29 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.989111E-02   8.026423E-02
   0.100   7.983297E-02   8.043211E-02
   0.200   7.977477E-02   8.060064E-02
   0.300   7.965887E-02   8.092303E-02
   0.400   7.948962E-02   8.136067E-02
   0.500   7.929127E-02   8.184896E-02
   0.600   7.904344E-02   8.240103E-02
   0.700   7.876454E-02   8.298037E-02
   0.800   7.844158E-02   8.356005E-02
   0.900   7.808184E-02   8.410269E-02
   1.000   7.770554E-02   8.461038E-02
   1.100   7.730501E-02   8.503784E-02
   1.200   7.689210E-02   8.539572E-02
   1.300   7.647249E-02   8.564870E-02
   1.400   7.605606E-02   8.578302E-02
   1.500   7.564654E-02   8.584837E-02
   1.600   7.525405E-02   8.579641E-02
   1.700   7.488228E-02   8.565630E-02
   1.800   7.453749E-02   8.543181E-02
   1.900   7.422748E-02   8.512333E-02
   2.000   7.393802E-02   8.477472E-02
   2.100   7.368107E-02   8.437000E-02
   2.200   7.344917E-02   8.393081E-02
   2.300   7.323001E-02   8.347329E-02
   2.400   7.301194E-02   8.300079E-02
   2.500   7.278627E-02   8.252353E-02
   2.600   7.252761E-02   8.203746E-02
   2.700   7.221169E-02   8.153888E-02
   2.800   7.183221E-02   8.102219E-02
   2.900   7.132558E-02   8.045813E-02
   3.000   7.068850E-02   7.983089E-02
   3.100   6.994490E-02   7.914994E-02
   3.200   6.899158E-02   7.833725E-02
   3.300   6.788978E-02   7.742297E-02
   3.400   6.651064E-02   7.629602E-02
   3.500   6.491824E-02   7.498574E-02
   3.600   6.316736E-02   7.353210E-02
   3.700   6.112967E-02   7.180423E-02
   3.800   5.892531E-02   6.989992E-02
   3.900   5.640205E-02   6.766178E-02
   4.000   5.368116E-02   6.519227E-02
   4.100   5.085086E-02   6.257057E-02
   4.200   4.778012E-02   5.965356E-02
   4.300   4.463419E-02   5.660094E-02
   4.400   4.127252E-02   5.325621E-02
   4.500   3.785980E-02   4.978201E-02
   4.600   3.449991E-02   4.628323E-02
   4.700   3.109349E-02   4.264743E-02
   4.800   2.780798E-02   3.905308E-02
   4.900   2.454864E-02   3.539314E-02
   5.000   2.146305E-02   3.183255E-02
   5.100   1.861744E-02   2.845207E-02
   5.200   1.595250E-02   2.519016E-02
   5.300   1.355586E-02   2.216089E-02
   5.400   1.136990E-02   1.930575E-02
