 Z=  64 A= 126  Gd beta2= 0.42 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.316291E-02   6.903407E-02
   0.100   7.332555E-02   6.915025E-02
   0.200   7.348856E-02   6.926662E-02
   0.300   7.370318E-02   6.942062E-02
   0.400   7.402009E-02   6.964917E-02
   0.500   7.445468E-02   6.996900E-02
   0.600   7.490354E-02   7.029942E-02
   0.700   7.544828E-02   7.071002E-02
   0.800   7.602840E-02   7.115678E-02
   0.900   7.663739E-02   7.163336E-02
   1.000   7.725513E-02   7.212871E-02
   1.100   7.787390E-02   7.263746E-02
   1.200   7.846017E-02   7.314249E-02
   1.300   7.903338E-02   7.364255E-02
   1.400   7.954211E-02   7.411274E-02
   1.500   7.995836E-02   7.452901E-02
   1.600   8.034919E-02   7.493120E-02
   1.700   8.062240E-02   7.525782E-02
   1.800   8.081023E-02   7.552708E-02
   1.900   8.090612E-02   7.573319E-02
   2.000   8.093476E-02   7.589165E-02
   2.100   8.087792E-02   7.598898E-02
   2.200   8.069260E-02   7.598795E-02
   2.300   8.049987E-02   7.598079E-02
   2.400   8.020700E-02   7.589465E-02
   2.500   7.986815E-02   7.576810E-02
   2.600   7.950484E-02   7.561943E-02
   2.700   7.911579E-02   7.544500E-02
   2.800   7.871671E-02   7.525672E-02
   2.900   7.831988E-02   7.506123E-02
   3.000   7.793374E-02   7.487016E-02
   3.100   7.756811E-02   7.468801E-02
   3.200   7.724303E-02   7.453001E-02
   3.300   7.692409E-02   7.437527E-02
   3.400   7.664278E-02   7.424549E-02
   3.500   7.636748E-02   7.411859E-02
   3.600   7.609573E-02   7.399296E-02
   3.700   7.580415E-02   7.385056E-02
   3.800   7.546183E-02   7.366521E-02
   3.900   7.505603E-02   7.342544E-02
   4.000   7.453312E-02   7.308521E-02
   4.100   7.390796E-02   7.265454E-02
   4.200   7.314777E-02   7.210371E-02
   4.300   7.214975E-02   7.133877E-02
   4.400   7.098994E-02   7.042456E-02
   4.500   6.956265E-02   6.926223E-02
   4.600   6.795944E-02   6.793078E-02
   4.700   6.613401E-02   6.638523E-02
   4.800   6.396442E-02   6.450780E-02
   4.900   6.160882E-02   6.244126E-02
   5.000   5.894193E-02   6.006403E-02
   5.100   5.612574E-02   5.752502E-02
   5.200   5.312075E-02   5.478336E-02
   5.300   4.981741E-02   5.172998E-02
   5.400   4.643512E-02   4.857126E-02
   5.500   4.286733E-02   4.520008E-02
   5.600   3.931698E-02   4.181194E-02
   5.700   3.576209E-02   3.838332E-02
   5.800   3.214101E-02   3.485103E-02
   5.900   2.866569E-02   3.142347E-02
   6.000   2.526707E-02   2.803267E-02
   6.100   2.210550E-02   2.484076E-02
   6.200   1.915843E-02   2.182768E-02
   6.300   1.639635E-02   1.896761E-02
   6.400   1.392534E-02   1.637284E-02
   6.500   1.169511E-02   1.399728E-02
   6.600   9.759162E-03   1.190174E-02
   6.700   8.079376E-03   1.005282E-02
