 Z=  79 A= 164  Au beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.693313E-02   7.283083E-02
   0.100   8.670848E-02   7.269609E-02
   0.200   8.648442E-02   7.256160E-02
   0.300   8.626093E-02   7.242736E-02
   0.400   8.584411E-02   7.217951E-02
   0.500   8.536990E-02   7.190048E-02
   0.600   8.479513E-02   7.156761E-02
   0.700   8.421507E-02   7.123276E-02
   0.800   8.356146E-02   7.086957E-02
   0.900   8.291689E-02   7.052384E-02
   1.000   8.228163E-02   7.019689E-02
   1.100   8.167527E-02   6.989416E-02
   1.200   8.114467E-02   6.966022E-02
   1.300   8.072516E-02   6.951270E-02
   1.400   8.037298E-02   6.941746E-02
   1.500   8.010332E-02   6.938260E-02
   1.600   7.995786E-02   6.943969E-02
   1.700   7.995880E-02   6.960093E-02
   1.800   8.000420E-02   6.979427E-02
   1.900   8.012701E-02   7.003969E-02
   2.000   8.031557E-02   7.032971E-02
   2.100   8.056407E-02   7.065635E-02
   2.200   8.081903E-02   7.098791E-02
   2.300   8.107292E-02   7.131378E-02
   2.400   8.132300E-02   7.163460E-02
   2.500   8.151287E-02   7.190415E-02
   2.600   8.170317E-02   7.217472E-02
   2.700   8.181060E-02   7.237928E-02
   2.800   8.187889E-02   7.255259E-02
   2.900   8.185867E-02   7.265411E-02
   3.000   8.183844E-02   7.275576E-02
   3.100   8.172087E-02   7.277541E-02
   3.200   8.157811E-02   7.277273E-02
   3.300   8.139246E-02   7.273184E-02
   3.400   8.120405E-02   7.268731E-02
   3.500   8.099339E-02   7.261670E-02
   3.600   8.078888E-02   7.254723E-02
   3.700   8.059062E-02   7.247890E-02
   3.800   8.039970E-02   7.241413E-02
   3.900   8.022779E-02   7.235888E-02
   4.000   8.005627E-02   7.230045E-02
   4.100   7.988512E-02   7.224025E-02
   4.200   7.969505E-02   7.216326E-02
   4.300   7.945771E-02   7.204523E-02
   4.400   7.916082E-02   7.187643E-02
   4.500   7.871534E-02   7.158199E-02
   4.600   7.820816E-02   7.123453E-02
   4.700   7.753644E-02   7.074676E-02
   4.800   7.663770E-02   7.006517E-02
   4.900   7.557857E-02   6.924191E-02
   5.000   7.417528E-02   6.811631E-02
   5.100   7.267112E-02   6.689733E-02
   5.200   7.087970E-02   6.541941E-02
   5.300   6.875182E-02   6.363533E-02
   5.400   6.642619E-02   6.166395E-02
   5.500   6.367417E-02   5.929575E-02
   5.600   6.086848E-02   5.686527E-02
   5.700   5.778023E-02   5.416165E-02
   5.800   5.439272E-02   5.116736E-02
   5.900   5.090633E-02   4.806317E-02
   6.000   4.710468E-02   4.464723E-02
   6.100   4.342032E-02   4.131901E-02
   6.200   3.963800E-02   3.787815E-02
   6.300   3.578801E-02   3.435360E-02
   6.400   3.207039E-02   3.093089E-02
   6.500   2.834271E-02   2.747714E-02
   6.600   2.493692E-02   2.430485E-02
   6.700   2.169648E-02   2.126984E-02
   6.800   1.865443E-02   1.840434E-02
   6.900   1.591585E-02   1.580871E-02
   7.000   1.339966E-02   1.341055E-02
   7.100   1.123693E-02   1.133456E-02
   7.200   9.332214E-03   9.493851E-03
   7.300   7.678646E-03   7.885360E-03
   7.400   6.283002E-03   6.516721E-03
   7.500   5.097983E-03   5.346175E-03
   7.600   4.127624E-03   4.378023E-03
   7.700   3.324988E-03   3.570093E-03
   7.800   2.668256E-03   2.902897E-03
   7.900   2.137377E-03   2.357600E-03
   8.000   1.708893E-03   1.913174E-03
   8.100   1.365952E-03   1.552678E-03
   8.200   1.091307E-03   1.260645E-03
   8.300   8.718934E-04   1.024477E-03
   8.400   6.968351E-04   8.334072E-04
   8.500   5.571716E-04   6.790579E-04
   8.600   4.455422E-04   5.535640E-04
   8.700   3.563538E-04   4.518078E-04
   8.800   2.849960E-04   3.691273E-04
   8.900   2.279321E-04   3.018034E-04
   9.000   1.822747E-04   2.470576E-04
   9.100   1.457766E-04   2.023356E-04
   9.200   1.166211E-04   1.659063E-04
   9.300   9.336135E-05   1.362546E-04
   9.400   7.481390E-05   1.120696E-04
   9.500   6.009481E-05   9.247679E-05
   9.600   4.831897E-05   7.640245E-05
   9.700   3.895041E-05   6.332112E-05
   9.800   3.149201E-05   5.267742E-05
   9.900   2.551605E-05   4.394255E-05
  10.000   2.073896E-05   3.682881E-05
  10.100   1.686823E-05   3.090942E-05
  10.200   1.374246E-05   2.602995E-05
  10.300   1.120123E-05   2.198640E-05
  10.400   9.129672E-06   1.860567E-05
  10.500   7.432186E-06   1.578421E-05
  10.600   6.046962E-06   1.339888E-05
  10.700   4.912692E-06   1.139061E-05
  10.800   3.985320E-06   9.695719E-06
  10.900   3.231308E-06   8.259734E-06
  11.000   2.620792E-06   7.046388E-06
  11.100   2.127083E-06   6.014129E-06
  11.200   1.729849E-06   5.139242E-06
  11.300   1.432952E-06   4.406582E-06
  11.400   1.188237E-06   3.779091E-06
  11.500   9.853129E-07   3.240953E-06
  11.600   8.170439E-07   2.779446E-06
  11.700   6.775114E-07   2.383657E-06
  11.800   5.618079E-07   2.044227E-06
  11.900   4.658639E-07   1.753132E-06
  12.000   3.863050E-07   1.503488E-06
  12.100   3.187617E-07   1.285926E-06
  12.200   2.621491E-07   1.097832E-06
  12.300   2.155909E-07   9.372507E-07
  12.400   1.773016E-07   8.001579E-07
  12.500   1.458126E-07   6.831178E-07
  12.600   1.199160E-07   5.831972E-07
  12.700   9.861871E-08   4.978922E-07
  12.800   8.110386E-08   4.250649E-07
  12.900   6.669968E-08   3.628901E-07
  13.000   5.485370E-08   3.098097E-07
  13.100   4.549269E-08   2.657111E-07
  13.200   3.905387E-08   2.322239E-07
  13.300   3.352637E-08   2.029571E-07
  13.400   2.878120E-08   1.773788E-07
  13.500   2.470765E-08   1.550240E-07
  13.600   2.121064E-08   1.354866E-07
  13.700   1.820859E-08   1.184114E-07
  13.800   1.563143E-08   1.034882E-07
  13.900   1.341903E-08   9.044577E-08
  14.000   1.151976E-08   7.904704E-08
  14.100   9.889312E-09   6.908487E-08
  14.200   8.219776E-09   6.000973E-08
  14.300   6.719845E-09   5.196333E-08
  14.400   5.493619E-09   4.499583E-08
  14.500   4.491152E-09   3.896257E-08
  14.600   3.671614E-09   3.373828E-08
  14.700   3.001624E-09   2.921448E-08
  14.800   2.453893E-09   2.529726E-08
  14.900   2.006110E-09   2.190528E-08
  15.000   1.640039E-09   1.896811E-08
  15.100   1.340767E-09   1.642478E-08
  15.200   1.096106E-09   1.422246E-08
  15.300   1.002844E-09   1.292876E-08
  15.400   9.185610E-10   1.175851E-08
  15.500   8.413614E-10   1.069418E-08
  15.600   7.706499E-10   9.726192E-09
  15.700   7.058813E-10   8.845822E-09
  15.800   6.465562E-10   8.045138E-09
  15.900   5.922170E-10   7.316929E-09
  16.000   5.424446E-10   6.654634E-09
  16.100   4.968553E-10   6.052286E-09
  16.200   4.550976E-10   5.504461E-09
  16.300   4.118622E-10   5.014260E-09
  16.400   3.457388E-10   4.613716E-09
  16.500   2.902314E-10   4.245168E-09
  16.600   2.436356E-10   3.906059E-09
  16.700   2.045206E-10   3.594039E-09
  16.800   1.716854E-10   3.306944E-09
  16.900   1.441218E-10   3.042782E-09
  17.000   1.209834E-10   2.799721E-09
  17.100   1.015599E-10   2.576077E-09
  17.200   8.525472E-11   2.370297E-09
  17.300   7.156731E-11   2.180956E-09
  17.400   6.047714E-11   2.010538E-09
  17.500   5.968108E-11   1.937272E-09
  17.600   5.889551E-11   1.866676E-09
  17.700   5.812027E-11   1.798652E-09
  17.800   5.735524E-11   1.733107E-09
  17.900   5.660028E-11   1.669951E-09
  18.000   5.585526E-11   1.609096E-09
  18.100   5.512004E-11   1.550459E-09
  18.200   5.439450E-11   1.493959E-09
  18.300   5.367851E-11   1.439518E-09
  18.400   5.297195E-11   1.387060E-09
  18.500   5.227468E-11   1.336514E-09
  18.600   5.444522E-11   1.268846E-09
  18.700   5.866152E-11   1.193422E-09
  18.800   6.320433E-11   1.122481E-09
  18.900   6.809895E-11   1.055758E-09
  19.000   7.337260E-11   9.930000E-10
  19.100   7.905466E-11   9.339729E-10
  19.200   8.517674E-11   8.784546E-10
  19.300   9.177292E-11   8.262365E-10
  19.400   9.887991E-11   7.771224E-10
  19.500   1.065373E-10   7.309278E-10
  19.600   1.147876E-10   6.874792E-10
  19.700   1.236769E-10   6.466132E-10
  19.800   1.285398E-10   6.089977E-10
  19.900   1.319310E-10   5.738396E-10
 Z=  79 A= 165  Au beta2= 0.08 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.667100E-02   7.229718E-02
   0.100   8.645563E-02   7.216601E-02
   0.200   8.624079E-02   7.203509E-02
   0.300   8.602649E-02   7.190440E-02
   0.400   8.562892E-02   7.166376E-02
   0.500   8.517708E-02   7.139330E-02
   0.600   8.462764E-02   7.107028E-02
   0.700   8.407500E-02   7.074618E-02
   0.800   8.345399E-02   7.039633E-02
   0.900   8.284371E-02   7.006401E-02
   1.000   8.224533E-02   6.975240E-02
   1.100   8.167332E-02   6.946258E-02
   1.200   8.118344E-02   6.924648E-02
   1.300   8.079985E-02   6.911214E-02
   1.400   8.049112E-02   6.903552E-02
   1.500   8.025654E-02   6.901277E-02
   1.600   8.015618E-02   6.908866E-02
   1.700   8.019334E-02   6.925977E-02
   1.800   8.028430E-02   6.946862E-02
   1.900   8.044377E-02   6.972227E-02
   2.000   8.067583E-02   7.002360E-02
   2.100   8.096198E-02   7.035444E-02
   2.200   8.125838E-02   7.069174E-02
