 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.048152E-02   6.505677E-02
   0.100   8.061677E-02   6.487281E-02
   0.200   8.075224E-02   6.468938E-02
   0.300   8.088795E-02   6.450647E-02
   0.400   8.107126E-02   6.425066E-02
   0.500   8.131192E-02   6.390838E-02
   0.600   8.157614E-02   6.350536E-02
   0.700   8.185952E-02   6.305527E-02
   0.800   8.214389E-02   6.260836E-02
   0.900   8.240348E-02   6.212142E-02
   1.000   8.265729E-02   6.163946E-02
   1.100   8.282621E-02   6.120600E-02
   1.200   8.299547E-02   6.077560E-02
   1.300   8.310930E-02   6.040959E-02
   1.400   8.315933E-02   6.011578E-02
   1.500   8.314842E-02   5.993779E-02
   1.600   8.309099E-02   5.984759E-02
   1.700   8.303361E-02   5.975752E-02
   1.800   8.291682E-02   5.988583E-02
   1.900   8.279897E-02   6.003486E-02
   2.000   8.268749E-02   6.036724E-02
   2.100   8.257616E-02   6.070147E-02
   2.200   8.249362E-02   6.110232E-02
   2.300   8.244255E-02   6.157741E-02
   2.400   8.244549E-02   6.208352E-02
   2.500   8.248787E-02   6.261393E-02
   2.600   8.253028E-02   6.314887E-02
   2.700   8.266283E-02   6.366160E-02
   2.800   8.280207E-02   6.417059E-02
   2.900   8.299597E-02   6.460089E-02
   3.000   8.319032E-02   6.503408E-02
   3.100   8.339107E-02   6.541117E-02
   3.200   8.359857E-02   6.572824E-02
   3.300   8.377734E-02   6.597283E-02
   3.400   8.393604E-02   6.616655E-02
   3.500   8.409505E-02   6.636083E-02
   3.600   8.415980E-02   6.645193E-02
   3.700   8.421256E-02   6.653726E-02
   3.800   8.415473E-02   6.657193E-02
   3.900   8.409694E-02   6.660661E-02
   4.000   8.398274E-02   6.664002E-02
   4.100   8.381214E-02   6.667215E-02
   4.200   8.359582E-02   6.673303E-02
   4.300   8.334943E-02   6.681317E-02
   4.400   8.310358E-02   6.689371E-02
   4.500   8.282052E-02   6.703568E-02
   4.600   8.253609E-02   6.718063E-02
   4.700   8.223282E-02   6.734874E-02
   4.800   8.193065E-02   6.751727E-02
   4.900   8.160931E-02   6.766601E-02
   5.000   8.125775E-02   6.777927E-02
   5.100   8.086340E-02   6.783223E-02
   5.200   8.037188E-02   6.775506E-02
   5.300   7.983991E-02   6.762326E-02
   5.400   7.918558E-02   6.733477E-02
   5.500   7.837344E-02   6.685845E-02
   5.600   7.742481E-02   6.622107E-02
   5.700   7.620924E-02   6.529075E-02
   5.800   7.490858E-02   6.426527E-02
   5.900   7.334568E-02   6.296370E-02
   6.000   7.150207E-02   6.137926E-02
   6.100   6.944519E-02   5.958214E-02
   6.200   6.699920E-02   5.741175E-02
   6.300   6.448312E-02   5.517425E-02
   6.400   6.165190E-02   5.264339E-02
   6.500   5.852992E-02   4.985098E-02
   6.600   5.524264E-02   4.691371E-02
   6.700   5.162137E-02   4.368551E-02
   6.800   4.806941E-02   4.053006E-02
   6.900   4.434255E-02   3.723175E-02
   7.000   4.051636E-02   3.386302E-02
   7.100   3.673824E-02   3.055350E-02
   7.200   3.290051E-02   2.721289E-02
   7.300   2.934116E-02   2.413265E-02
   7.400   2.587940E-02   2.115640E-02
   7.500   2.258744E-02   1.834670E-02
   7.600   1.955415E-02   1.577683E-02
   7.700   1.672105E-02   1.339519E-02
   7.800   1.424256E-02   1.132761E-02
   7.900   1.200900E-02   9.480736E-03
   8.000   1.003719E-02   7.864712E-03
   8.100   8.336720E-03   6.482676E-03
   8.200   6.865260E-03   5.298480E-03
   8.300   5.639832E-03   4.320464E-03
   8.400   4.605747E-03   3.503063E-03
   8.500   3.745744E-03   2.829624E-03
   8.600   3.038770E-03   2.280831E-03
   8.700   2.459512E-03   1.835649E-03
   8.800   1.989878E-03   1.477142E-03
   8.900   1.608888E-03   1.188677E-03
   9.000   1.301072E-03   9.574895E-04
   9.100   1.052774E-03   7.721002E-04
   9.200   8.527751E-04   6.238065E-04
   9.300   6.910126E-04   5.042987E-04
   9.400   5.604497E-04   4.083188E-04
   9.500   4.547644E-04   3.309373E-04
   9.600   3.691266E-04   2.684207E-04
   9.700   2.995799E-04   2.178569E-04
   9.800   2.431095E-04   1.768498E-04
   9.900   1.972105E-04   1.436230E-04
  10.000   1.599154E-04   1.167219E-04
  10.100   1.296642E-04   9.494614E-05
  10.200   1.051767E-04   7.741838E-05
  10.300   8.534407E-05   6.319778E-05
  10.400   6.933378E-05   5.176297E-05
  10.500   5.643756E-05   4.258196E-05
  10.600   4.603351E-05   3.517107E-05
  10.700   3.769077E-05   2.925342E-05
  10.800   3.090118E-05   2.438911E-05
  10.900   2.542600E-05   2.046236E-05
  11.000   2.098314E-05   1.725943E-05
  11.100   1.735500E-05   1.461419E-05
  11.200   1.438209E-05   1.242838E-05
  11.300   1.192149E-05   1.058017E-05
  11.400   9.884271E-06   9.026446E-06
  11.500   8.184585E-06   7.704302E-06
  11.600   6.767605E-06   6.575585E-06
  11.700   5.577448E-06   5.606135E-06
  11.800   4.591246E-06   4.777593E-06
  11.900   3.767547E-06   4.066678E-06
  12.000   3.099287E-06   3.473379E-06
  12.100   2.550204E-06   2.967675E-06
  12.200   2.098400E-06   2.535599E-06
  12.300   1.726639E-06   2.166431E-06
  12.400   1.420741E-06   1.851012E-06
  12.500   1.169037E-06   1.581515E-06
  12.600   9.619254E-07   1.351256E-06
  12.700   7.915068E-07   1.154521E-06
  12.800   6.532011E-07   9.876003E-07
  12.900   5.512970E-07   8.524816E-07
  13.000   4.652907E-07   7.358491E-07
  13.100   3.927019E-07   6.351738E-07
  13.200   3.314376E-07   5.482724E-07
  13.300   2.797309E-07   4.732604E-07
  13.400   2.360909E-07   4.085112E-07
  13.500   1.992590E-07   3.526206E-07
  13.600   1.681732E-07   3.043768E-07
  13.700   1.419369E-07   2.627334E-07
  13.800   1.197937E-07   2.267875E-07
  13.900   1.006832E-07   1.962624E-07
  14.000   8.257718E-08   1.724142E-07
  14.100   6.772716E-08   1.514638E-07
  14.200   5.554765E-08   1.330591E-07
  14.300   4.555841E-08   1.168908E-07
  14.400   3.736555E-08   1.026871E-07
  14.500   3.064603E-08   9.020941E-08
  14.600   2.513489E-08   7.924788E-08
  14.700   2.061484E-08   6.961830E-08
  14.800   1.690763E-08   6.115884E-08
  14.900   1.386710E-08   5.372730E-08
  15.000   1.140289E-08   4.722009E-08
  15.100   1.011706E-08   4.205343E-08
  15.200   8.976221E-09   3.745209E-08
  15.300   7.964029E-09   3.335421E-08
  15.400   7.065975E-09   2.970471E-08
  15.500   6.269190E-09   2.645452E-08
  15.600   5.562253E-09   2.355996E-08
  15.700   4.935032E-09   2.098211E-08
  15.800   4.378540E-09   1.868632E-08
  15.900   3.884800E-09   1.664173E-08
  16.000   3.446735E-09   1.482085E-08
  16.100   3.058068E-09   1.319920E-08
  16.200   2.559976E-09   1.187966E-08
  16.300   2.107346E-09   1.072465E-08
  16.400   1.734745E-09   9.681938E-09
  16.500   1.428024E-09   8.740603E-09
  16.600   1.175535E-09   7.890791E-09
  16.700   9.676882E-10   7.123601E-09
  16.800   7.965909E-10   6.431003E-09
  16.900   6.557454E-10   5.805743E-09
  17.000   5.398028E-10   5.241275E-09
  17.100   4.443601E-10   4.731687E-09
  17.200   3.657927E-10   4.271645E-09
  17.300   3.244082E-10   3.891852E-09
  17.400   3.351512E-10   3.613068E-09
  17.500   3.462500E-10   3.354254E-09
  17.600   3.577164E-10   3.113980E-09
  17.700   3.695625E-10   2.890917E-09
