 Z= 104 A= 230  Rf beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.985154E-02   6.499960E-02
   0.100   8.015267E-02   6.483719E-02
   0.200   8.045493E-02   6.467518E-02
   0.300   8.075833E-02   6.451358E-02
   0.400   8.116343E-02   6.429197E-02
   0.500   8.170691E-02   6.399010E-02
   0.600   8.230852E-02   6.364029E-02
   0.700   8.296712E-02   6.324545E-02
   0.800   8.363099E-02   6.285306E-02
   0.900   8.427332E-02   6.243185E-02
   1.000   8.491742E-02   6.200983E-02
   1.100   8.540741E-02   6.163809E-02
   1.200   8.589680E-02   6.126959E-02
   1.300   8.630324E-02   6.094796E-02
   1.400   8.656060E-02   6.070610E-02
   1.500   8.670677E-02   6.054850E-02
   1.600   8.671517E-02   6.049384E-02
   1.700   8.672358E-02   6.043922E-02
   1.800   8.656120E-02   6.055524E-02
   1.900   8.636450E-02   6.070629E-02
   2.000   8.606421E-02   6.102153E-02
   2.100   8.575546E-02   6.135353E-02
   2.200   8.544100E-02   6.172342E-02
   2.300   8.511182E-02   6.218032E-02
   2.400   8.480858E-02   6.265532E-02
   2.500   8.454572E-02   6.315762E-02
   2.600   8.428368E-02   6.366395E-02
   2.700   8.410618E-02   6.414978E-02
   2.800   8.395430E-02   6.463183E-02
   2.900   8.390330E-02   6.503997E-02
   3.000   8.386966E-02   6.543725E-02
   3.100   8.385686E-02   6.580859E-02
   3.200   8.391116E-02   6.609031E-02
   3.300   8.397381E-02   6.633366E-02
   3.400   8.405402E-02   6.649434E-02
   3.500   8.413430E-02   6.665541E-02
   3.600   8.418781E-02   6.674605E-02
   3.700   8.423011E-02   6.680716E-02
   3.800   8.420093E-02   6.682604E-02
   3.900   8.415276E-02   6.683368E-02
   4.000   8.408579E-02   6.684145E-02
   4.100   8.392957E-02   6.684981E-02
   4.200   8.375004E-02   6.687103E-02
   4.300   8.350356E-02   6.692908E-02
   4.400   8.325780E-02   6.698719E-02
   4.500   8.297275E-02   6.708636E-02
   4.600   8.266643E-02   6.720859E-02
   4.700   8.232741E-02   6.735016E-02
   4.800   8.197714E-02   6.749921E-02
   4.900   8.162230E-02   6.764432E-02
   5.000   8.122068E-02   6.775542E-02
   5.100   8.077133E-02   6.780545E-02
   5.200   8.025775E-02   6.776999E-02
   5.300   7.969366E-02   6.766472E-02
   5.400   7.900920E-02   6.740092E-02
   5.500   7.823353E-02   6.701858E-02
   5.600   7.726926E-02   6.640691E-02
   5.700   7.613859E-02   6.560046E-02
   5.800   7.488124E-02   6.464381E-02
   5.900   7.336466E-02   6.340522E-02
   6.000   7.167907E-02   6.198408E-02
   6.100   6.966741E-02   6.022914E-02
   6.200   6.741313E-02   5.823327E-02
   6.300   6.499925E-02   5.607892E-02
   6.400   6.225828E-02   5.361535E-02
   6.500   5.935435E-02   5.100062E-02
   6.600   5.611255E-02   4.807898E-02
   6.700   5.269136E-02   4.500210E-02
   6.800   4.921272E-02   4.188256E-02
   6.900   4.553038E-02   3.859224E-02
   7.000   4.185017E-02   3.531861E-02
   7.100   3.804057E-02   3.194801E-02
   7.200   3.428584E-02   2.864443E-02
   7.300   3.069479E-02   2.550299E-02
   7.400   2.717531E-02   2.244530E-02
   7.500   2.388212E-02   1.960239E-02
   7.600   2.073667E-02   1.690745E-02
   7.700   1.785253E-02   1.445503E-02
   7.800   1.526732E-02   1.227329E-02
   7.900   1.292332E-02   1.031217E-02
   8.000   1.086898E-02   8.607257E-03
   8.100   9.052726E-03   7.114233E-03
   8.200   7.494077E-03   5.844669E-03
   8.300   6.174982E-03   4.779527E-03
   8.400   5.057384E-03   3.885863E-03
   8.500   4.127720E-03   3.149032E-03
   8.600   3.354858E-03   2.542557E-03
   8.700   2.721685E-03   2.050109E-03
   8.800   2.205155E-03   1.651557E-03
   8.900   1.785350E-03   1.330502E-03
   9.000   1.445248E-03   1.072205E-03
   9.100   1.170633E-03   8.652968E-04
   9.200   9.489527E-04   6.992409E-04
   9.300   7.697517E-04   5.656408E-04
   9.400   6.250109E-04   4.582932E-04
   9.500   5.077305E-04   3.716433E-04
   9.600   4.127028E-04   3.017338E-04
   9.700   3.354829E-04   2.451058E-04
   9.800   2.727061E-04   1.991775E-04
   9.900   2.215925E-04   1.619339E-04
  10.000   1.800021E-04   1.317001E-04
  10.100   1.461633E-04   1.072302E-04
  10.200   1.186949E-04   8.743641E-05
  10.300   9.639928E-05   7.138591E-05
  10.400   7.836727E-05   5.847564E-05
  10.500   6.376777E-05   4.802707E-05
  10.600   5.201753E-05   3.966455E-05
  10.700   4.253705E-05   3.291471E-05
  10.800   3.485427E-05   2.741833E-05
  10.900   2.866472E-05   2.298820E-05
  11.000   2.362973E-05   1.935262E-05
  11.100   1.955055E-05   1.639186E-05
  11.200   1.620608E-05   1.393201E-05
  11.300   1.345169E-05   1.187147E-05
  11.400   1.117326E-05   1.013909E-05
  11.500   9.279805E-06   8.667455E-06
  11.600   7.696006E-06   7.411582E-06
  11.700   6.369558E-06   6.333643E-06
  11.800   5.262636E-06   5.409149E-06
  11.900   4.333521E-06   4.613224E-06
  12.000   3.564263E-06   3.937857E-06
  12.100   2.930539E-06   3.365442E-06
  12.200   2.409490E-06   2.876235E-06
  12.300   1.981084E-06   2.458140E-06
  12.400   1.628848E-06   2.100820E-06
  12.500   1.339240E-06   1.795441E-06
  12.600   1.101123E-06   1.534452E-06
  12.700   9.053440E-07   1.311401E-06
  12.800   7.443742E-07   1.120773E-06
  12.900   6.248262E-07   9.650724E-07
  13.000   5.295178E-07   8.338890E-07
  13.100   4.487473E-07   7.205374E-07
  13.200   3.802972E-07   6.225939E-07
  13.300   3.222883E-07   5.379640E-07
  13.400   2.731277E-07   4.648379E-07
  13.500   2.314659E-07   4.016519E-07
  13.600   1.961591E-07   3.470549E-07
  13.700   1.662378E-07   2.998793E-07
  13.800   1.408805E-07   2.591163E-07
  13.900   1.193912E-07   2.238943E-07
  14.000   9.849470E-08   1.954940E-07
  14.100   8.024297E-08   1.715306E-07
  14.200   6.537340E-08   1.505045E-07
  14.300   5.325927E-08   1.320559E-07
  14.400   4.338997E-08   1.158686E-07
  14.500   3.534951E-08   1.016656E-07
  14.600   2.879901E-08   8.920352E-08
  14.700   2.346236E-08   7.826905E-08
  14.800   1.911462E-08   6.867492E-08
  14.900   1.557255E-08   6.025683E-08
  15.000   1.268686E-08   5.287061E-08
  15.100   1.091354E-08   4.678696E-08
  15.200   9.840621E-09   4.171001E-08
  15.300   8.873180E-09   3.718397E-08
  15.400   8.000850E-09   3.314906E-08
  15.500   7.214279E-09   2.955199E-08
  15.600   6.505037E-09   2.634524E-08
  15.700   5.865520E-09   2.348647E-08
  15.800   5.288876E-09   2.093790E-08
  15.900   4.768921E-09   1.866589E-08
  16.000   4.300084E-09   1.664041E-08
  16.100   3.877339E-09   1.483473E-08
  16.200   3.411640E-09   1.325341E-08
